CNAE,TOTAL
"0121101","2"
"0159802","5"
"0161001","1"
"0161002","2"
"0161003","25"
"0322104","7"
"1012101","3"
"1013901","3"
"1031700","30"
"1032599","1"
"1033301","2"
"1033302","5"
"1052000","8"
"1063500","11"
"1065101","2"
"1069400","3"
"1091101","77"
"1091102","77"
"1092900","2"
"1093701","3"
"1093702","4"
"1094500","12"
"1095300","7"
"1096100","11"
"1099604","3"
"1099605","2"
"1099699","2"
"1122403","3"
"1122499","1"
"1220499","2"
"1322700","1"
"1340501","10"
"1340599","15"
"1351100","2"
"1352900","21"
"1359600","8"
"1411801","2"
"1412601","54"
"1412602","130"
"1412603","16"
"1413403","3"
"1414200","2"
"1422300","11"
"1529700","13"
"1531902","2"
"1539400","4"
"1622699","39"
"1629301","29"
"1629302","5"
"1721400","1"
"1731100","1"
"1749400","6"
"1813001","21"
"1813099","13"
"1821100","6"
"1822901","1"
"2052500","1"
"2061400","1"
"2062200","2"
"2063100","1"
"2219600","6"
"2229399","3"
"2319200","2"
"2330399","7"
"2342702","2"
"2349499","5"
"2391503","11"
"2512800","9"
"2532201","6"
"2539001","26"
"2539002","1"
"2542000","96"
"2543800","4"
"2599301","6"
"2599399","7"
"2950600","2"
"3101200","104"
"3102100","5"
"3103900","14"
"3211602","2"
"3211603","1"
"3212400","16"
"3220500","1"
"3230200","1"
"3291400","3"
"3292202","1"
"3299003","3"
"3299004","2"
"3299005","1"
"3299099","56"
"3311200","3"
"3313901","18"
"3313902","1"
"3313999","2"
"3314701","2"
"3314702","1"
"3314707","24"
"3314709","2"
"3314710","9"
"3314711","8"
"3314712","2"
"3314719","2"
"3314720","2"
"3314799","1"
"3317102","2"
"3319800","8"
"3321000","5"
"3329501","7"
"3600602","13"
"3702900","2"
"3811400","2"
"3831901","7"
"3831999","1"
"3832700","1"
"4321500","222"
"4322301","7"
"4322302","166"
"4322303","1"
"4329101","1"
"4329103","3"
"4329104","1"
"4329105","1"
"4330402","12"
"4330403","16"
"4330404","77"
"4330405","4"
"4330499","16"
"4399103","293"
"4399105","6"
"4399199","9"
"4520001","133"
"4520002","47"
"4520003","28"
"4520004","1"
"4520005","125"
"4520006","62"
"4520007","28"
"4530703","82"
"4530704","7"
"4530705","4"
"4541206","101"
"4541207","2"
"4543900","108"
"4712100","1062"
"4713002","83"
"4721102","62"
"4721103","11"
"4721104","19"
"4722901","118"
"4722902","26"
"4723700","530"
"4724500","99"
"4729601","28"
"4729699","192"
"4732600","6"
"4741500","5"
"4742300","16"
"4743100","23"
"4744001","23"
"4744002","24"
"4744003","4"
"4744004","12"
"4744099","66"
"4751201","92"
"4751202","6"
"4752100","91"
"4753900","39"
"4754701","13"
"4754702","19"
"4754703","2"
"4755501","6"
"4755502","150"
"4755503","142"
"4756300","6"
"4757100","37"
"4759801","6"
"4759899","44"
"4761001","15"
"4761002","2"
"4761003","27"
"4762800","3"
"4763601","28"
"4763602","23"
"4763603","69"
"4763604","17"
"4771701","9"
"4771703","4"
"4771704","6"
"4772500","354"
"4773300","10"
"4774100","32"
"4781400","2736"
"4782201","122"
"4782202","3"
"4783101","63"
"4783102","23"
"4784900","15"
"4785799","7"
"4789001","51"
"4789002","24"
"4789003","10"
"4789004","24"
"4789005","25"
"4789007","6"
"4789008","7"
"4789099","155"
"4923001","128"
"4924800","152"
"4929901","40"
"4929902","31"
"4930201","76"
"4930202","29"
"4930204","10"
"5011401","10"
"5021101","2"
"5091201","3"
"5091202","12"
"5099801","2"
"5099899","125"
"5211702","1"
"5212500","10"
"5223100","14"
"5229002","4"
"5229099","53"
"5310502","1"
"5320201","5"
"5320202","113"
"5590601","3"
"5590602","2"
"5590603","16"
"5590699","22"
"5611201","374"
"5611203","576"
"5611204","374"
"5611205","91"
"5612100","228"
"5620101","24"
"5620102","64"
"5620103","5"
"5620104","360"
"5811500","3"
"5812301","31"
"5812302","6"
"5813100","2"
"5819100","24"
"5912099","31"
"6190699","17"
"6399200","10"
"6920601","13"
"7319002","816"
"7319003","58"
"7319099","32"
"7420001","60"
"7420002","3"
"7420003","3"
"7420004","12"
"7719599","5"
"7721700","13"
"7722500","1"
"7723300","2"
"7729201","6"
"7729202","14"
"7731400","4"
"7732201","7"
"7732202","1"
"7733100","3"
"7739003","1"
"7739099","8"
"7911200","80"
"7912100","4"
"7990200","5"
"8011101","1"
"8011102","2"
"8020002","6"
"8122200","5"
"8129000","19"
"8130300","31"
"8211300","4"
"8219901","17"
"8219999","85"
"8230001","120"
"8230002","39"
"8291100","36"
"8292000","7"
"8299703","2"
"8299707","26"
"8299799","9"
"8592902","2"
"8592903","16"
"8592999","21"
"8593700","4"
"8599603","22"
"8599604","86"
"8599605","23"
"8599699","71"
"8712300","9"
"9001901","3"
"9001902","19"
"9001906","17"
"9002702","1"
"9313100","5"
"9329899","9"
"9511800","149"
"9512600","50"
"9521500","31"
"9529101","5"
"9529102","9"
"9529103","5"
"9529104","23"
"9529105","7"
"9529106","5"
"9529199","9"
"9601701","5"
"9601703","2"
"9602501","986"
"9602502","213"
"9603304","3"
"9609202","1"
"9609206","12"
"9609208","11"
"9609299","16"
"9700500","60"
