CNAE,TOTAL
"0121101","5"
"0159801","12"
"0159802","45"
"0161001","22"
"0161002","7"
"0161003","131"
"0311604","1"
"0321304","2"
"0322104","22"
"0892401","2"
"1012101","128"
"1013901","17"
"1031700","51"
"1032599","5"
"1033301","10"
"1033302","8"
"1052000","37"
"1053800","1"
"1061902","5"
"1063500","11"
"1064300","1"
"1065101","11"
"1069400","3"
"1071600","7"
"1091101","341"
"1091102","878"
"1092900","48"
"1093701","46"
"1093702","23"
"1094500","264"
"1095300","22"
"1096100","148"
"1099601","7"
"1099604","44"
"1099605","5"
"1099699","3"
"1122403","5"
"1122499","9"
"1220402","1"
"1220499","9"
"1311100","1"
"1321900","3"
"1340501","69"
"1340599","88"
"1351100","46"
"1352900","18"
"1353700","1"
"1359600","173"
"1411801","19"
"1411802","6"
"1412601","519"
"1412602","885"
"1412603","75"
"1413403","27"
"1414200","6"
"1422300","39"
"1510600","1"
"1521100","33"
"1529700","30"
"1531901","7"
"1531902","7"
"1539400","17"
"1540800","1"
"1622699","113"
"1623400","6"
"1629301","154"
"1629302","29"
"1721400","1"
"1731100","14"
"1732000","7"
"1742701","3"
"1742702","1"
"1749400","137"
"1813001","195"
"1813099","193"
"1821100","85"
"1822901","28"
"2052500","20"
"2061400","17"
"2062200","38"
"2063100","9"
"2092402","4"
"2219600","38"
"2229399","28"
"2319200","11"
"2330301","1"
"2330305","1"
"2330399","60"
"2342702","4"
"2349499","40"
"2391502","8"
"2391503","61"
"2399101","20"
"2512800","107"
"2532201","35"
"2539001","151"
"2539002","5"
"2542000","659"
"2543800","5"
"2599301","105"
"2599399","25"
"2740602","6"
"2950600","20"
"3101200","785"
"3102100","10"
"3103900","32"
"3104700","7"
"3211602","16"
"3211603","1"
"3212400","335"
"3220500","3"
"3230200","9"
"3240099","8"
"3291400","3"
"3292202","11"
"3299002","21"
"3299003","89"
"3299004","34"
"3299005","2"
"3299006","4"
"3299099","878"
"3311200","7"
"3313901","66"
"3313902","4"
"3313999","24"
"3314701","4"
"3314702","30"
"3314706","11"
"3314707","222"
"3314709","5"
"3314710","21"
"3314711","10"
"3314712","8"
"3314719","14"
"3314720","13"
"3314799","2"
"3317102","4"
"3319800","28"
"3321000","105"
"3329501","233"
"3600602","41"
"3702900","8"
"3811400","621"
"3812200","33"
"3831901","20"
"3831999","23"
"3832700","38"
"3839499","17"
"4321500","1372"
"4322301","114"
"4322302","559"
"4322303","15"
"4329101","39"
"4329102","3"
"4329103","4"
"4329104","5"
"4329105","22"
"4330402","55"
"4330403","132"
"4330404","618"
"4330405","88"
"4330499","139"
"4399103","2063"
"4399105","18"
"4399199","17"
"4520001","785"
"4520002","453"
"4520003","156"
"4520004","17"
"4520005","487"
"4520006","281"
"4520007","183"
"4520008","160"
"4530703","844"
"4530704","98"
"4530705","31"
"4541206","714"
"4541207","13"
"4543900","394"
"4712100","5497"
"4713002","351"
"4721102","554"
"4721103","502"
"4721104","300"
"4722901","678"
"4722902","353"
"4723700","2844"
"4724500","1559"
"4729601","46"
"4729699","1033"
"4732600","25"
"4741500","29"
"4742300","81"
"4743100","126"
"4744001","206"
"4744002","37"
"4744003","37"
"4744004","114"
"4744099","1566"
"4751201","578"
"4751202","34"
"4752100","544"
"4753900","273"
"4754701","390"
"4754702","435"
"4754703","27"
"4755501","60"
"4755502","1631"
"4755503","550"
"4756300","24"
"4757100","180"
"4759801","58"
"4759899","263"
"4761001","81"
"4761002","35"
"4761003","328"
"4762800","57"
"4763601","164"
"4763602","168"
"4763603","216"
"4763604","50"
"4771701","73"
"4771703","8"
"4771704","51"
"4772500","2330"
"4773300","78"
"4774100","369"
"4781400","9609"
"4782201","733"
"4782202","26"
"4783101","245"
"4783102","86"
"4784900","261"
"4785701","4"
"4785799","79"
"4789001","453"
"4789002","109"
"4789003","52"
"4789004","742"
"4789005","430"
"4789006","12"
"4789007","54"
"4789008","50"
"4789099","883"
"4923001","1320"
"4924800","488"
"4929901","848"
"4929902","367"
"4929903","32"
"4930201","499"
"4930202","183"
"4930204","94"
"5011401","2"
"5021101","2"
"5091201","20"
"5091202","13"
"5099801","61"
"5099899","14"
"5211702","15"
"5212500","64"
"5223100","76"
"5229002","31"
"5229099","467"
"5310502","3"
"5320201","59"
"5320202","858"
"5590601","19"
"5590602","6"
"5590603","33"
"5590699","215"
"5611201","2195"
"5611203","3696"
"5611204","1017"
"5611205","120"
"5612100","2293"
"5620101","299"
"5620102","322"
"5620103","58"
"5620104","2239"
"5811500","41"
"5812300","2"
"5812301","104"
"5812302","41"
"5813100","43"
"5819100","194"
"5912099","169"
"6190699","242"
"6399200","30"
"6920601","76"
"7319002","2865"
"7319003","293"
"7319099","124"
"7420001","496"
"7420002","28"
"7420003","3"
"7420004","109"
"7490102","10"
"7719599","15"
"7721700","136"
"7722500","16"
"7723300","30"
