CNAE,TOTAL
"0121101","10"
"0159801","4"
"0159802","26"
"0161001","17"
"0161002","25"
"0161003","175"
"0162802","1"
"0170900","1"
"0220999","1"
"0312403","1"
"0321304","1"
"0322104","18"
"1012101","8"
"1013901","15"
"1031700","108"
"1032599","8"
"1033301","10"
"1033302","24"
"1052000","30"
"1053800","1"
"1063500","72"
"1064300","5"
"1065101","8"
"1069400","2"
"1071600","3"
"1091101","413"
"1091102","742"
"1092900","22"
"1093701","45"
"1093702","25"
"1094500","84"
"1095300","36"
"1096100","76"
"1099604","10"
"1099605","10"
"1099699","3"
"1122403","3"
"1122499","1"
"1220499","1"
"1311100","2"
"1312000","4"
"1321900","1"
"1322700","3"
"1340501","210"
"1340599","72"
"1351100","11"
"1352900","60"
"1353700","2"
"1359600","102"
"1411801","23"
"1411802","12"
"1412601","364"
"1412602","630"
"1412603","62"
"1413403","52"
"1414200","12"
"1422300","21"
"1521100","25"
"1529700","8"
"1531901","2"
"1531902","9"
"1539400","28"
"1622699","95"
"1623400","2"
"1629301","104"
"1629302","7"
"1721400","4"
"1731100","20"
"1732000","9"
"1742701","1"
"1742702","2"
"1742799","1"
"1749400","120"
"1813001","170"
"1813099","194"
"1821100","118"
"1822901","40"
"1822999","1"
"2052500","8"
"2061400","4"
"2062200","13"
"2063100","10"
"2219600","22"
"2229399","26"
"2319200","12"
"2330399","37"
"2342702","4"
"2349499","13"
"2391502","3"
"2391503","25"
"2399101","16"
"2512800","150"
"2532201","28"
"2539001","386"
"2539002","2"
"2541100","2"
"2542000","378"
"2543800","46"
"2599301","75"
"2599399","28"
"2740602","1"
"2950600","15"
"3101200","600"
"3102100","10"
"3103900","92"
"3211602","19"
"3212400","100"
"3220500","7"
"3230200","8"
"3240099","11"
"3291400","53"
"3292202","6"
"3299001","2"
"3299002","7"
"3299003","57"
"3299004","26"
"3299005","4"
"3299006","9"
"3299099","558"
"3311200","7"
"3313901","46"
"3313902","2"
"3313999","45"
"3314701","21"
"3314702","46"
"3314706","13"
"3314707","375"
"3314709","1"
"3314710","25"
"3314711","13"
"3314712","1"
"3314719","21"
"3314720","8"
"3314799","22"
"3317102","30"
"3319800","41"
"3321000","209"
"3329501","137"
"3600602","17"
"3702900","12"
"3811400","110"
"3812200","6"
"3831901","44"
"3831999","15"
"3832700","33"
"3839499","27"
"4321500","1466"
"4322301","100"
"4322302","1331"
"4322303","35"
"4329101","30"
"4329102","9"
"4329103","5"
"4329104","15"
"4329105","15"
"4330402","61"
"4330403","116"
"4330404","441"
"4330405","80"
