CNAE,TOTAL
"0121101","2"
"0159801","2"
"0159802","4"
"0161001","4"
"0161002","2"
"0161003","16"
"0322104","4"
"1012101","1"
"1013901","3"
"1031700","51"
"1032599","2"
"1033301","132"
"1033302","77"
"1052000","5"
"1063500","7"
"1065101","2"
"1091101","61"
"1091102","117"
"1092900","2"
"1093701","17"
"1094500","9"
"1095300","1"
"1096100","17"
"1099604","4"
"1099699","2"
"1122403","3"
"1322700","1"
"1340501","16"
"1340599","19"
"1351100","10"
"1352900","4"
"1359600","15"
"1411801","2"
"1411802","3"
"1412601","71"
"1412602","163"
"1412603","14"
"1413403","8"
"1414200","1"
"1422300","8"
"1521100","4"
"1529700","3"
"1531901","1"
"1539400","7"
"1622699","25"
"1629301","19"
"1629302","2"
"1732000","2"
"1742701","1"
"1742702","1"
"1742799","2"
"1749400","20"
"1813001","39"
"1813099","45"
"1821100","16"
"1822901","3"
"2052500","1"
"2061400","1"
"2062200","3"
"2063100","2"
"2219600","7"
"2229399","7"
"2319200","3"
"2330399","7"
"2342702","1"
"2349499","4"
"2391503","1"
"2512800","20"
"2532201","5"
"2539001","37"
"2539002","1"
"2542000","83"
"2543800","5"
"2599301","8"
"2599399","2"
"3101200","101"
"3102100","7"
"3103900","30"
"3211602","9"
"3212400","21"
"3220500","2"
"3240099","2"
"3291400","9"
"3292202","3"
"3299002","1"
"3299003","8"
"3299004","4"
"3299006","2"
"3299099","78"
"3311200","3"
"3313901","9"
"3313999","9"
"3314701","3"
"3314702","1"
"3314706","1"
"3314707","54"
"3314710","6"
"3314711","2"
"3314719","1"
"3314720","1"
"3314799","2"
"3317102","9"
"3319800","9"
"3321000","18"
"3329501","19"
"3600602","1"
"3702900","3"
"3811400","15"
"3831901","5"
"3831999","2"
"3832700","2"
"4321500","260"
"4322301","16"
"4322302","246"
"4322303","1"
"4329101","9"
"4329102","1"
"4329103","1"
"4329104","1"
"4330402","11"
"4330403","18"
"4330404","96"
"4330405","4"
"4330499","34"
"4399103","233"
"4399105","12"
"4399199","4"
"4520001","176"
"4520002","56"
"4520003","20"
"4520004","2"
"4520005","153"
"4520006","57"
"4520007","25"
"4530703","79"
"4530704","6"
"4530705","1"
"4541206","56"
"4541207","1"
"4543900","46"
"4712100","842"
"4713002","93"
"4721102","62"
"4721103","30"
"4721104","15"
"4722901","129"
"4722902","99"
"4723700","516"
"4724500","191"
"4729601","13"
"4729699","178"
"4732600","4"
"4741500","3"
"4742300","12"
"4743100","20"
"4744001","17"
"4744002","19"
"4744004","7"
"4744099","89"
"4751201","98"
"4751202","9"
"4752100","85"
"4753900","44"
"4754701","32"
"4754702","6"
"4754703","4"
"4755501","12"
"4755502","131"
"4755503","98"
"4756300","5"
"4757100","38"
"4759801","3"
"4759899","44"
"4761001","24"
"4761002","13"
"4761003","64"
"4762800","11"
"4763601","23"
"4763602","41"
"4763603","57"
"4763604","11"
"4771701","20"
"4771703","3"
"4771704","3"
"4772500","444"
"4773300","11"
"4774100","66"
"4781400","2453"
"4782201","129"
"4782202","9"
"4783101","50"
"4783102","14"
"4784900","10"
"4785799","21"
"4789001","87"
"4789002","22"
"4789003","5"
"4789004","39"
"4789005","33"
"4789007","12"
"4789008","4"
"4789099","287"
"4923001","143"
"4924800","145"
"4929901","55"
"4929902","34"
"4929903","1"
"4930201","57"
"4930202","21"
"4930204","14"
"5011401","4"
"5021101","3"
"5091201","6"
"5091202","17"
"5099801","6"
"5099899","12"
"5212500","9"
"5223100","2"
"5229002","8"
"5229099","78"
"5320201","6"
"5320202","62"
"5590601","2"
"5590602","1"
"5590603","2"
"5590699","22"
"5611201","654"
"5611203","692"
"5611204","358"
"5611205","76"
"5612100","290"
"5620101","48"
"5620102","70"
"5620103","8"
"5620104","386"
"5811500","6"
"5812301","18"
"5812302","10"
"5813100","5"
"5819100","35"
"5912099","34"
"6190699","35"
"6399200","7"
"6920601","29"
"7020400","1"
"7319002","650"
"7319003","91"
"7319099","27"
"7420001","65"
"7420002","2"
"7420003","3"
"7420004","15"
"7490102","1"
"7719599","1"
"7721700","17"
"7722500","9"
"7723300","4"
"7729201","15"
"7729202","28"
"7732202","3"
"7733100","4"
"7739003","8"
"7739099","7"
"7911200","75"
"7912100","5"
"7990200","7"
"8011101","2"
"8020002","8"
"8121400","1"
"8122200","13"
"8129000","21"
"8130300","44"
"8211300","7"
"8219901","49"
"8219999","88"
"8230001","184"
"8230002","59"
"8291100","24"
"8292000","1"
"8299703","2"
"8299707","39"
"8299799","15"
"8592902","4"
"8592903","13"
"8592999","33"
"8593700","5"
"8599603","29"
"8599604","108"
"8599605","13"
"8599699","140"
"8712300","12"
"9001901","6"
"9001902","45"
"9001906","25"
"9313100","45"
"9329804","12"
"9329899","12"
"9511800","212"
"9512600","115"
"9521500","55"
"9529101","7"
"9529102","16"
"9529103","7"
"9529104","40"
"9529105","23"
"9529106","13"
"9529199","6"
"9601701","16"
"9601703","3"
"9602501","925"
"9602502","253"
"9603303","32"
"9603304","1"
"9609202","3"
"9609206","24"
"9609207","3"
"9609208","26"
"9609299","78"
"9700500","54"
