CNAE,TOTAL
"0121101","60"
"0159801","86"
"0159802","157"
"0161001","116"
"0161002","78"
"0161003","735"
"0162802","2"
"0162803","1"
"0220904","1"
"0220906","1"
"0311604","3"
"0321304","5"
"0322104","56"
"1012101","124"
"1013901","98"
"1031700","413"
"1032599","59"
"1033301","53"
"1033302","83"
"1052000","230"
"1053800","3"
"1061902","7"
"1063500","147"
"1064300","21"
"1065101","67"
"1069400","39"
"1071600","18"
"1091101","1999"
"1091102","4365"
"1092900","404"
"1093701","271"
"1093702","111"
"1094500","1100"
"1095300","406"
"1096100","1052"
"1099601","12"
"1099604","66"
"1099605","26"
"1099699","34"
"1122403","17"
"1122499","22"
"1220499","4"
"1311100","1"
"1312000","4"
"1321900","4"
"1322700","11"
"1340501","395"
"1340599","544"
"1351100","226"
"1352900","142"
"1353700","6"
"1359600","989"
"1411801","233"
"1411802","106"
"1412601","2730"
"1412602","5090"
"1412603","623"
"1413401","1"
"1413403","220"
"1414200","35"
"1422300","179"
"1510600","13"
"1521100","347"
"1529700","599"
"1531901","55"
"1531902","69"
"1539400","237"
"1540800","13"
"1610203","1"
"1622699","924"
"1623400","38"
"1629301","745"
"1629302","114"
"1721400","10"
"1731100","59"
"1732000","22"
"1742701","31"
"1742702","11"
"1742799","3"
"1749400","515"
"1813001","792"
"1813099","898"
"1821100","468"
"1822901","127"
"1822999","10"
"2052500","53"
"2061400","37"
"2062200","129"
"2063100","89"
"2092402","2"
"2219600","154"
"2229399","127"
"2319200","79"
"2330305","17"
"2330399","449"
"2342702","51"
"2349499","243"
"2391501","25"
"2391502","59"
"2391503","521"
"2399101","90"
"2512800","688"
"2532201","153"
"2539001","1300"
"2539002","19"
"2541100","8"
"2542000","4125"
"2543800","88"
"2599301","332"
"2599399","200"
"2740602","17"
"2950600","119"
"3101200","4221"
"3102100","31"
"3103900","157"
"3104700","26"
"3211601","48"
"3211602","76"
"3211603","1"
"3212400","993"
"3220500","41"
"3230200","34"
"3240099","53"
"3250706","1"
"3291400","123"
"3292202","54"
