CNAE,TOTAL
"0121101","33"
"0155501","1"
"0159801","32"
"0159802","113"
"0161001","21"
"0161002","22"
"0161003","160"
"0162802","1"
"0311604","1"
"0321304","10"
"0322104","44"
"0892401","1"
"1012101","116"
"1013901","48"
"1031700","478"
"1032599","27"
"1033301","27"
"1033302","46"
"1052000","153"
"1053800","6"
"1061902","15"
"1063500","58"
"1064300","13"
"1065101","32"
"1069400","10"
"1071600","36"
"1091101","1408"
"1091102","3040"
"1092900","77"
"1093701","262"
"1093702","28"
"1094500","512"
"1095300","82"
"1096100","345"
"1099601","2"
"1099604","81"
"1099605","23"
"1099699","12"
"1122403","13"
"1122499","30"
"1220499","3"
"1311100","10"
"1312000","9"
"1321900","5"
"1322700","9"
"1340501","291"
"1340599","369"
"1351100","224"
"1352900","60"
"1353700","31"
"1359600","495"
"1411801","625"
"1411802","342"
"1412601","4445"
"1412602","2876"
"1412603","3398"
"1413401","1"
"1413403","289"
"1414200","60"
"1422300","191"
"1510600","4"
"1521100","356"
"1529700","137"
"1531901","79"
"1531902","45"
"1539400","180"
"1540800","17"
"1610203","1"
"1622699","220"
"1623400","14"
"1629301","448"
"1629302","89"
"1721400","6"
"1731100","77"
"1732000","22"
"1742701","8"
"1742702","4"
"1742799","2"
"1749400","376"
"1813001","451"
"1813099","736"
"1821100","294"
"1822901","87"
"1822999","2"
"2052500","63"
"2061400","14"
"2062200","175"
"2063100","56"
"2219600","90"
"2229399","98"
"2319200","53"
"2330301","1"
"2330399","269"
"2342702","19"
"2349499","99"
"2391501","5"
"2391502","13"
"2391503","182"
"2399101","68"
"2452100","1"
"2512800","865"
"2532201","157"
"2539001","760"
"2539002","13"
"2541100","3"
"2542000","742"
"2543800","115"
"2592601","1"
"2599301","126"
"2599399","177"
"2740602","30"
"2950600","90"
"3101200","2050"
"3102100","52"
"3103900","73"
"3104700","9"
"3211601","4"
"3211602","31"
"3211603","1"
"3212400","750"
"3220500","14"
"3230200","35"
"3240099","45"
"3291400","40"
"3292202","38"
"3299001","3"
"3299002","20"
"3299003","202"
"3299004","65"
"3299005","45"
"3299006","19"
"3299099","2117"
"3311200","23"
"3313901","180"
"3313902","11"
"3313999","94"
"3314701","10"
"3314702","72"
"3314706","27"
"3314707","467"
"3314709","8"
"3314710","68"
"3314711","19"
"3314712","11"
"3314719","47"
"3314720","130"
"3314799","36"
"3317102","10"
"3319800","82"
"3321000","290"
"3329501","595"
"3600602","125"
"3702900","27"
"3811400","146"
"3812200","9"
"3831901","94"
"3831999","59"
"3832700","126"
"3839499","99"
"4321500","3478"
"4322301","309"
"4322302","1610"
"4322303","52"
"4329101","90"
"4329102","5"
"4329103","17"
"4329104","30"
"4329105","35"
"4330402","159"
"4330403","571"
"4330404","1510"
"4330405","170"
"4330499","394"
"4399103","4275"
"4399105","49"
"4399199","65"
"4520001","2960"
"4520002","941"
"4520003","326"
"4520004","49"
"4520005","1505"
"4520006","861"
"4520007","647"
"4520008","132"
"4530701","2"
"4530703","2367"
"4530704","351"
"4530705","122"
"4541201","1"
"4541206","3505"
"4541207","54"
"4543900","1836"
"4635499","1"
"4711301","4"
"4711302","1"
"4712100","23942"
"4713002","2638"
"4713004","2"
"4721102","1578"
"4721103","1591"
"4721104","727"
"4722901","1622"
"4722902","820"
"4723700","6623"
"4724500","3599"
"4729601","145"
"4729699","3900"
"4732600","165"
"4741500","134"
"4742300","346"
"4743100","313"
"4744001","695"
"4744002","140"
"4744003","149"
"4744004","260"
"4744005","7"
"4744099","4029"
"4751201","1652"
"4751202","85"
"4752100","2032"
"4753900","798"
"4754701","1025"
"4754702","1332"
"4754703","62"
"4755501","323"
"4755502","6504"
"4755503","1845"
"4756300","110"
"4757100","679"
"4759801","141"
"4759899","762"
"4761001","296"
"4761002","149"
"4761003","960"
"4762800","132"
"4763601","506"
"4763602","568"
"4763603","839"
"4763604","138"
"4771701","139"
"4771703","23"
"4771704","98"
