CNAE,TOTAL
"0121101","35"
"0159801","19"
"0159802","79"
"0161001","23"
"0161002","19"
"0161003","184"
"0162802","1"
"0322104","29"
"1012101","10"
"1013901","70"
"1031700","76"
"1032599","24"
"1033301","14"
"1033302","26"
"1052000","31"
"1061902","3"
"1063500","12"
"1064300","1"
"1065101","11"
"1069400","3"
"1071600","5"
"1091101","373"
"1091102","1764"
"1092900","96"
"1093701","172"
"1093702","28"
"1094500","283"
"1095300","48"
"1096100","467"
"1099601","2"
"1099604","19"
"1099605","12"
"1099699","21"
"1122499","2"
"1220499","5"
"1311100","1"
"1312000","2"
"1321900","3"
"1322700","5"
"1340501","127"
"1340599","183"
"1351100","42"
"1352900","159"
"1353700","2"
"1359600","442"
"1411801","46"
"1411802","24"
"1412601","1093"
"1412602","1542"
"1412603","217"
"1413403","81"
"1414200","10"
"1421500","1"
"1422300","105"
"1510600","1"
"1521100","57"
"1529700","67"
"1531901","8"
"1531902","18"
"1539400","44"
"1540800","4"
"1622699","141"
"1623400","4"
"1629301","287"
"1629302","53"
"1721400","7"
"1731100","20"
"1732000","9"
"1742701","3"
"1742702","5"
"1749400","348"
"1813001","345"
"1813099","243"
"1821100","349"
"1822901","42"
"1822999","5"
"2052500","5"
"2061400","9"
"2062200","28"
"2063100","25"
"2092402","1"
"2219600","50"
"2229399","47"
"2319200","33"
"2330399","92"
"2342702","7"
"2349499","87"
"2391501","1"
"2391502","9"
"2391503","89"
"2399101","58"
"2512800","124"
"2532201","24"
"2539001","104"
"2539002","6"
"2541100","6"
"2542000","1466"
"2543800","13"
"2599301","102"
"2599399","68"
"2740602","6"
"2950600","61"
"3101200","1713"
"3102100","16"
"3103900","48"
"3104700","11"
"3211601","12"
"3211602","75"
"3212400","407"
"3220500","14"
"3230200","4"
"3240099","53"
"3291400","6"
"3292202","24"
"3299001","4"
"3299002","23"
"3299003","196"
"3299004","96"
"3299005","3"
"3299006","26"
"3299099","1658"
"3311200","12"
"3313901","71"
"3313902","1"
"3313999","41"
"3314701","1"
"3314702","37"
"3314706","25"
"3314707","245"
"3314709","4"
"3314710","29"
"3314711","16"
"3314712","7"
"3314719","29"
"3314720","18"
"3314799","23"
"3317102","24"
"3319800","70"
"3321000","136"
"3329501","360"
"3600602","14"
"3702900","48"
"3811400","90"
"3812200","4"
"3831901","101"
"3831999","46"
"3832700","33"
"3839499","37"
"4321500","3565"
"4322301","385"
"4322302","701"
"4322303","53"
"4329101","110"
"4329102","5"
"4329103","37"
"4329104","13"
"4329105","43"
"4330402","85"
"4330403","541"
"4330404","2167"
"4330405","303"
"4330499","543"
"4399103","5316"
"4399105","15"
"4399199","82"
"4520001","1747"
"4520002","839"
"4520003","289"
"4520004","30"
"4520005","1406"
"4520006","402"
"4520007","468"
"4520008","65"
"4530703","826"
"4530704","193"
"4530705","23"
"4541206","178"
"4541207","12"
"4543900","226"
"4687703","1"
"4712100","1610"
"4713002","295"
"4721102","536"
"4721103","235"
"4721104","318"
"4722901","196"
"4722902","120"
"4723700","3765"
"4724500","1574"
"4729601","353"
"4729602","1"
"4729699","1673"
"4732600","60"
"4741500","61"
"4742300","212"
"4743100","199"
"4744001","209"
"4744002","50"
"4744003","61"
"4744004","55"
"4744005","2"
"4744099","886"
"4751201","1531"
"4751202","31"
"4752100","853"
"4753900","419"
"4754701","403"
"4754702","196"
"4754703","62"
"4755501","62"
"4755502","739"
"4755503","1179"
"4756300","87"
"4757100","313"
"4759801","241"
"4759899","578"
"4761001","127"
"4761002","147"
"4761003","267"
"4762800","62"
"4763601","253"
"4763602","334"
"4763603","218"
"4763604","85"
"4771701","30"
"4771703","7"
"4771704","35"
"4772500","3083"
"4773300","222"
"4774100","225"
"4781400","12455"
"4782201","757"
"4782202","74"
"4783101","533"
"4783102","110"
"4784900","73"
"4785701","22"
"4785799","330"
"4789001","793"
"4789002","265"
"4789003","134"
"4789004","662"
"4789005","421"
"4789006","1"
"4789007","81"
"4789008","92"
"4789099","1466"
"4923001","2374"
"4923002","1"
"4924800","857"
"4929901","848"
"4929902","411"
"4929903","27"
"4929999","1"
"4930201","2676"
"4930202","548"
"4930204","443"
"5011401","1"
"5021101","20"
"5091201","2"
"5091202","4"
"5099801","16"
"5099899","10"
"5211702","17"
"5212500","170"
"5223100","56"
"5229002","140"
"5229099","1129"
"5310502","9"
"5320201","471"
"5320202","2865"
"5590601","12"
"5590602","7"
"5590603","29"
"5590699","115"
"5611201","3191"
"5611203","5166"
"5611204","1722"
"5611205","269"
"5612100","5121"
"5620101","386"
"5620102","898"
"5620103","79"
"5620104","4986"
"5811500","467"
"5812300","11"
"5812301","553"
"5812302","366"
"5813100","392"
"5819100","1551"
"5912001","18"
"5912099","1074"
"6190699","481"
"6399200","158"
"6920601","227"
"7319002","7612"
"7319003","1222"
"7319099","279"
"7410202","1"
"7420001","1624"
"7420002","42"
"7420003","7"
"7420004","331"
"7490102","8"
"7719599","10"
"7721700","202"
"7722500","15"
"7723300","66"
"7729201","30"
"7729202","435"
"7729203","9"
"7729299","6"
"7731400","30"
"7732201","85"
"7732202","11"
"7733100","29"
"7739002","16"
"7739003","96"
"7739099","100"
"7911200","650"
"7912100","92"
"7990200","103"
"8011101","24"
"8011102","33"
"8020002","56"
"8122200","113"
"8129000","237"
"8130300","961"
"8211300","275"
"8219901","148"
"8219999","2063"
"8230001","3841"
"8230002","288"
"8291100","375"
"8292000","8"
"8299703","5"
"8299707","186"
"8299799","215"
"8592902","79"
"8592903","289"
"8592999","997"
"8593700","311"
"8599603","666"
"8599604","2151"
"8599605","336"
"8599699","3623"
"8712300","2320"
"9001901","279"
"9001902","1083"
"9001906","482"
"9002702","16"
"9102302","20"
"9313100","372"
"9319101","1"
"9329803","14"
"9329804","9"
"9329899","212"
"9511800","2660"
"9512600","787"
"9521500","514"
"9529101","95"
"9529102","502"
"9529103","59"
"9529104","98"
"9529105","212"
"9529106","64"
"9529199","168"
"9601701","154"
"9601702","2"
"9601703","34"
"9602501","16344"
"9602502","5355"
"9603304","8"
"9609202","33"
"9609206","513"
"9609207","80"
"9609208","581"
"9609299","465"
"9700500","2096"
