CNAE,TOTAL
"0121101","28"
"0159801","27"
"0159802","96"
"0161001","37"
"0161002","79"
"0161003","416"
"0162802","3"
"0162803","3"
"0321304","2"
"0322104","17"
"0892401","1"
"1012101","36"
"1013901","219"
"1031700","100"
"1032599","27"
"1033301","26"
"1033302","39"
"1052000","89"
"1053800","4"
"1063500","15"
"1064300","5"
"1065101","5"
"1069400","13"
"1071600","6"
"1091101","1048"
"1091102","2316"
"1092900","192"
"1093701","163"
"1093702","59"
"1094500","628"
"1095300","82"
"1096100","610"
"1099601","1"
"1099604","23"
"1099605","10"
"1099699","17"
"1122403","5"
"1122499","3"
"1220499","2"
"1311100","2"
"1312000","4"
"1321900","3"
"1322700","7"
"1340501","338"
"1340599","586"
"1351100","157"
"1352900","78"
"1353700","2"
"1359600","970"
"1411801","239"
"1411802","104"
"1412601","2523"
"1412602","3123"
"1412603","1051"
"1413403","153"
"1414200","17"
"1421500","1"
"1422300","194"
"1510600","4"
"1521100","107"
"1529700","82"
"1531901","17"
"1531902","24"
"1539400","89"
"1540800","3"
"1622699","246"
"1623400","71"
"1629301","501"
"1629302","52"
"1721400","8"
"1731100","22"
"1732000","21"
"1742701","10"
"1742702","4"
"1749400","407"
"1813001","291"
"1813099","207"
"1821100","257"
"1822901","64"
"1822999","4"
"1830001","1"
"1830003","1"
"2052500","19"
"2061400","15"
"2062200","66"
"2063100","20"
"2219600","117"
"2229399","63"
"2319200","49"
"2330305","4"
"2330399","237"
"2342702","19"
"2349499","101"
"2391501","6"
"2391502","68"
"2391503","372"
"2399101","59"
"2512800","729"
"2532201","65"
"2539001","836"
"2539002","15"
"2541100","6"
"2542000","2104"
"2543800","36"
"2599301","170"
"2599399","59"
"2740602","11"
"2950600","56"
"3101200","1937"
"3102100","8"
"3103900","68"
"3104700","11"
"3211601","13"
"3211602","55"
"3212400","639"
"3220500","20"
"3230200","24"
"3240099","16"
"3291400","60"
"3292202","16"
"3299001","1"
"3299002","21"
"3299003","179"
"3299004","55"
"3299005","13"
"3299006","11"
"3299099","2359"
"3311200","101"
"3313901","163"
"3313902","2"
"3313999","97"
"3314701","40"
"3314702","142"
"3314706","35"
"3314707","475"
"3314709","16"
"3314710","91"
"3314711","133"
"3314712","45"
"3314719","49"
"3314720","66"
"3314799","64"
"3317102","61"
"3319800","96"
"3321000","439"
"3329501","911"
"3600602","8"
"3702900","19"
"3811400","489"
"3812200","18"
"3831901","140"
"3831999","91"
"3832700","85"
"3839499","179"
"4321500","4692"
"4322301","377"
"4322302","1190"
"4322303","64"
"4329101","141"
"4329102","30"
"4329103","20"
"4329104","37"
"4329105","84"
"4330402","290"
"4330403","791"
"4330404","3077"
"4330405","263"
"4330499","724"
"4399103","15775"
"4399105","73"
"4399199","153"
"4520001","2943"
"4520002","1643"
"4520003","587"
"4520004","48"
"4520005","1796"
"4520006","800"
"4520007","707"
"4520008","240"
"4530703","1189"
"4530704","137"
"4530705","105"
"4541206","811"
"4541207","12"
"4543900","1088"
"4712100","5037"
"4713002","699"
"4721102","1430"
"4721103","385"
"4721104","421"
"4722901","862"
"4722902","617"
"4723700","3982"
"4724500","2458"
"4729601","147"
"4729699","3572"
"4732600","46"
"4741500","61"
"4742300","398"
"4743100","304"
"4744001","323"
"4744002","144"
"4744003","81"
"4744004","163"
"4744006","1"
"4744099","1822"
"4751201","1256"
"4751202","69"
"4752100","1106"
"4753900","558"
"4754701","412"
"4754702","599"
"4754703","58"
"4755501","112"
"4755502","1361"
"4755503","1739"
"4756300","72"
"4757100","344"
"4759801","204"
"4759899","536"
"4761001","159"
"4761002","177"
"4761003","555"
"4762800","82"
"4763601","376"
"4763602","301"
"4763603","634"
"4763604","159"
"4771701","43"
"4771703","17"
"4771704","62"
"4772500","4505"
"4773300","161"
"4774100","270"
"4781400","21810"
"4782201","871"
"4782202","65"
"4783101","911"
"4783102","164"
"4784900","378"
"4785701","14"
"4785799","362"
"4789001","1169"
"4789002","498"
"4789003","106"
"4789004","1489"
"4789005","644"
"4789006","1"
"4789007","83"
"4789008","99"
"4789099","1880"
"4923001","1218"
"4923002","2"
"4924800","923"
"4929901","929"
"4929902","812"
"4929903","21"
"4929999","1"
"4930201","3277"
"4930202","1319"
"4930204","518"
"5011401","16"
"5021101","11"
"5091201","9"
"5091202","4"
"5099801","25"
"5099899","28"
"5211702","3"
"5212500","444"
"5223100","108"
"5229002","151"
"5229099","1104"
"5310502","23"
"5320201","259"
"5320202","2447"
"5590601","31"
"5590602","19"
"5590603","85"
"5590699","515"
"5611201","3962"
"5611203","8496"
"5611204","7510"
"5611205","764"
"5612100","6569"
"5620101","476"
"5620102","910"
"5620103","151"
"5620104","7884"
"5811500","129"
"5812300","6"
"5812301","174"
"5812302","188"
"5813100","159"
"5819100","908"
"5912001","6"
"5912099","512"
"6110803","1"
"6190699","365"
"6399200","85"
"6920601","73"
"7319002","9685"
"7319003","859"
"7319099","435"
"7420001","1497"
"7420002","45"
"7420003","6"
"7420004","221"
"7490102","17"
"7719599","10"
"7721700","409"
"7722500","44"
"7723300","144"
"7729201","38"
"7729202","368"
"7729203","8"
"7729299","5"
"7731400","66"
"7732201","135"
"7732202","65"
"7733100","27"
"7739002","19"
"7739003","71"
"7739099","139"
"7911200","605"
"7912100","138"
"7990200","82"
"8011101","49"
"8011102","37"
"8020002","85"
"8122200","77"
"8129000","257"
"8130300","806"
"8211300","330"
"8219901","236"
"8219999","2791"
"8230001","2829"
"8230002","541"
"8291100","446"
"8292000","53"
"8299703","11"
"8299707","221"
"8299799","288"
"8512100","1"
"8592902","52"
"8592903","323"
"8592999","718"
"8593700","250"
"8599603","598"
"8599604","2055"
"8599605","339"
"8599699","2672"
"8712300","1446"
"9001901","55"
"9001902","1194"
"9001903","1"
"9001906","401"
"9002701","1"
"9002702","41"
"9102302","21"
"9313100","295"
"9329803","8"
"9329804","19"
"9329899","332"
"9511800","2482"
"9512600","1057"
"9521500","600"
"9529101","88"
"9529102","373"
"9529103","84"
"9529104","252"
"9529105","457"
"9529106","92"
"9529199","241"
"9601701","250"
"9601703","38"
"9602501","20158"
"9602502","5554"
"9603303","2"
"9603304","88"
"9603399","4"
"9609202","45"
"9609206","474"
"9609207","89"
"9609208","652"
"9609299","465"
"9700500","4809"
