CNAE,TOTAL
"0121101","49"
"0159801","36"
"0159802","114"
"0161001","85"
"0161002","127"
"0161003","916"
"0162802","8"
"0162803","1"
"0321304","2"
"0322104","41"
"0892401","1"
"1012101","31"
"1013901","265"
"1031700","172"
"1032599","83"
"1033301","37"
"1033302","76"
"1052000","245"
"1053800","9"
"1061902","8"
"1063500","131"
"1064300","40"
"1065101","66"
"1069400","24"
"1071600","64"
"1091101","1062"
"1091102","2439"
"1092900","160"
"1093701","214"
"1093702","73"
"1094500","460"
"1095300","186"
"1096100","781"
"1099601","4"
"1099604","75"
"1099605","18"
"1099699","57"
"1122403","10"
"1122499","3"
"1220499","23"
"1311100","8"
"1312000","8"
"1321900","5"
"1322700","15"
"1323500","1"
"1340501","150"
"1340599","587"
"1351100","377"
"1352900","497"
"1353700","6"
"1359600","575"
"1411801","607"
"1411802","204"
"1412601","5675"
"1412602","3038"
"1412603","2742"
"1413402","1"
"1413403","361"
"1414200","41"
"1421500","2"
"1422300","234"
"1510600","3"
"1521100","145"
"1529700","206"
"1531901","239"
"1531902","46"
"1539400","338"
"1540800","31"
"1622699","476"
"1623400","15"
"1629301","505"
"1629302","93"
"1721400","5"
"1731100","42"
"1732000","15"
"1742701","9"
"1742702","2"
"1749400","313"
"1813001","446"
"1813099","505"
"1821100","285"
"1822901","110"
"1822999","4"
"2052500","20"
"2061400","15"
"2062200","64"
"2063100","244"
"2219600","84"
"2229399","85"
"2319200","31"
"2330301","1"
"2330305","3"
"2330399","402"
"2342702","42"
"2349499","127"
"2391501","13"
"2391502","28"
"2391503","287"
"2399101","77"
"2512800","366"
"2532201","149"
"2539001","1228"
"2539002","35"
"2541100","18"
"2542000","3273"
"2543800","57"
"2593400","1"
"2599301","379"
"2599399","142"
"2740602","21"
"2950600","134"
"3101200","3043"
"3102100","32"
"3103900","93"
"3104700","35"
"3211601","23"
"3211602","105"
"3211603","2"
"3212400","422"
"3220500","28"
"3230200","25"
"3240099","45"
"3291400","95"
"3292202","36"
"3299001","1"
"3299002","41"
"3299003","310"
"3299004","147"
"3299005","21"
"3299006","32"
"3299099","1659"
"3311200","73"
"3312103","1"
"3313901","272"
"3313902","9"
"3313999","153"
"3314701","28"
"3314702","154"
"3314706","44"
"3314707","542"
"3314709","11"
"3314710","122"
"3314711","459"
"3314712","173"
"3314719","129"
"3314720","103"
"3314799","42"
"3317102","23"
"3319800","188"
"3321000","538"
"3329501","1059"
"3600602","31"
"3702900","99"
"3811400","624"
"3812200","17"
"3831901","190"
"3831999","95"
"3832700","157"
"3839499","115"
"4292801","1"
"4321500","6476"
"4322301","572"
"4322302","1845"
"4322303","87"
"4329101","248"
"4329102","2"
"4329103","66"
"4329104","49"
"4329105","94"
"4330402","424"
"4330403","1008"
"4330404","4275"
"4330405","646"
"4330499","798"
"4399102","1"
"4399103","15084"
"4399105","166"
"4399199","438"
"4520001","5219"
"4520002","2336"
"4520003","1064"
"4520004","90"
"4520005","3239"
"4520006","2120"
"4520007","1204"
"4520008","46"
"4530703","3004"
"4530704","556"
"4530705","273"
"4541206","1558"
"4541207","50"
"4543900","1141"
"4617600","1"
"4646001","1"
"4669999","1"
"4711301","1"
"4711302","3"
