CNAE,TOTAL
"0121101","18"
"0159801","9"
"0159802","53"
"0161001","18"
"0161002","9"
"0161003","100"
"0311604","1"
"0321304","4"
"0322104","53"
"1012101","49"
"1013901","12"
"1031700","130"
"1032599","6"
"1033301","18"
"1033302","28"
"1052000","39"
"1053800","1"
"1061902","15"
"1063500","18"
"1064300","3"
"1065101","11"
"1069400","3"
"1071600","3"
"1091101","516"
"1091102","845"
"1092900","29"
"1093701","63"
"1093702","16"
"1094500","138"
"1095300","30"
"1096100","92"
"1099601","1"
"1099604","24"
"1099605","2"
"1099699","5"
"1122403","9"
"1122499","9"
"1220499","1"
"1312000","3"
"1322700","3"
"1340501","111"
"1340599","116"
"1351100","33"
"1352900","74"
"1353700","2"
"1359600","109"
"1411801","44"
"1411802","15"
"1412601","465"
"1412602","1189"
"1412603","104"
"1413403","46"
"1414200","3"
"1422300","40"
"1521100","33"
"1529700","26"
"1531901","4"
"1531902","13"
"1539400","74"
"1540800","5"
"1622699","97"
"1623400","3"
"1629301","91"
"1629302","33"
"1721400","1"
"1731100","6"
"1732000","4"
"1742701","2"
"1749400","122"
"1813001","198"
"1813099","239"
"1821100","73"
"1822901","33"
"2052500","14"
"2061400","13"
"2062200","26"
"2063100","8"
"2219600","31"
"2222600","1"
"2229399","23"
"2319200","14"
"2330302","1"
"2330305","1"
"2330399","110"
"2342702","21"
"2349499","41"
"2391501","9"
"2391502","8"
"2391503","86"
"2399101","24"
"2512800","219"
"2532201","30"
"2539001","250"
"2539002","6"
"2541100","8"
"2542000","879"
"2543800","28"
"2599301","46"
"2599399","53"
"2740602","1"
"2950600","28"
"3101200","679"
"3102100","17"
"3103900","89"
"3104700","4"
"3211601","4"
"3211602","13"
"3211603","1"
"3212400","135"
"3220500","12"
"3230200","3"
"3240099","9"
"3291400","15"
"3292202","8"
"3299001","1"
"3299002","9"
"3299003","80"
"3299004","32"
"3299005","8"
"3299006","5"
"3299099","619"
"3311200","5"
"3313901","60"
"3313902","2"
"3313999","28"
"3314701","12"
"3314702","35"
"3314706","7"
"3314707","285"
"3314709","10"
"3314710","23"
"3314711","23"
"3314712","18"
"3314719","8"
"3314720","25"
"3314799","13"
"3317102","11"
"3319800","44"
"3321000","109"
"3329501","241"
"3600602","26"
"3702900","20"
"3811400","40"
"3812200","1"
"3831901","26"
"3831999","23"
"3832700","13"
"3839499","22"
"4321500","1591"
"4322301","119"
"4322302","927"
"4322303","26"
"4329101","36"
"4329102","3"
"4329103","12"
"4329104","15"
"4329105","10"
"4330402","56"
"4330403","279"
"4330404","570"
"4330405","55"
"4330499","267"
"4399103","1699"
"4399105","33"
"4399199","18"
"4520001","1039"
"4520002","401"
"4520003","191"
"4520004","14"
"4520005","770"
"4520006","384"
"4520007","215"
"4520008","21"
"4530703","1295"
"4530704","118"
"4530705","62"
"4541206","3038"
"4541207","33"
"4543900","817"
"4711302","1"
"4712100","8329"
"4713002","1279"
"4721102","643"
"4721103","536"
"4721104","91"
