CNAE,TOTAL
"0121101","140"
"0159801","293"
"0159802","483"
"0161001","289"
"0161002","290"
"0161003","2630"
"0162802","37"
"0162803","4"
"0170900","1"
"0220906","3"
"0311604","1"
"0321304","7"
"0322101","1"
"0322104","119"
"0600003","1"
"0892401","5"
"0899199","1"
"1012101","90"
"1013901","1090"
"1031700","492"
"1032599","258"
"1033301","77"
"1033302","155"
"1052000","1049"
"1053800","12"
"1061902","6"
"1063500","90"
"1064300","98"
"1065101","71"
"1066000","1"
"1069400","100"
"1071600","87"
"1081302","1"
"1091101","3822"
"1091102","9578"
"1092900","976"
"1093701","973"
"1093702","248"
"1094500","1445"
"1095300","731"
"1096100","2468"
"1099601","14"
"1099604","137"
"1099605","54"
"1099699","159"
"1122403","27"
"1122499","12"
"1220499","160"
"1311100","16"
"1312000","15"
"1321900","44"
"1322700","192"
"1340501","847"
"1340599","2634"
"1351100","677"
"1352900","599"
"1353700","15"
"1359600","3094"
"1411801","1409"
"1411802","605"
"1412601","12614"
"1412602","12146"
"1412603","3562"
"1413403","738"
"1414200","101"
"1421500","57"
"1422300","982"
"1510600","9"
"1521100","560"
"1529700","879"
"1531901","2767"
"1531902","388"
"1539400","2939"
"1540800","684"
"1622699","2134"
"1623400","89"
"1629301","2237"
"1629302","649"
"1721400","12"
"1731100","187"
"1732000","87"
"1742701","50"
"1742702","23"
"1742799","4"
"1749400","1497"
"1813001","1339"
"1813099","1326"
"1821100","1200"
"1822901","279"
"1822999","6"
"2052500","63"
"2061400","40"
"2062200","232"
"2063100","135"
"2092402","6"
"2219600","361"
"2229399","333"
"2319200","149"
"2330305","6"
"2330399","1363"
"2342702","187"
"2349499","498"
"2391501","53"
"2391502","124"
"2391503","916"
"2399101","317"
"2511000","1"
"2512800","1167"
"2532201","417"
"2539001","3634"
"2539002","75"
"2541100","57"
"2542000","10698"
"2543800","364"
"2599301","1318"
"2599399","581"
"2740602","72"
"2950600","267"
"3101200","9363"
"3102100","79"
"3103900","294"
"3104700","60"
"3211601","359"
"3211602","228"
"3211603","3"
"3212400","2568"
"3220500","96"
"3230200","87"
"3240003","1"
"3240099","168"
"3250706","1"
"3291400","231"
"3292202","123"
"3299001","2"
"3299002","89"
"3299003","818"
"3299004","274"
"3299005","29"
"3299006","119"
"3299099","8732"
"3311200","203"
"3313901","700"
"3313902","17"
"3313999","433"
"3314701","111"
"3314702","466"
"3314706","147"
"3314707","1354"
"3314709","74"
"3314710","295"
"3314711","863"
"3314712","252"
"3314719","230"
"3314720","344"
"3314799","175"
"3317102","46"
"3319800","423"
"3321000","1915"
"3329501","2993"
"3600602","78"
"3702900","116"
"3811400","1237"
"3812200","22"
"3831901","574"
"3831999","429"
"3832700","436"
"3839499","581"
"4292801","2"
"4313400","1"
"4321500","21306"
"4322301","3071"
"4322302","2615"
"4322303","347"
"4329101","498"
"4329102","14"
"4329103","170"
"4329104","124"
"4329105","230"
"4330402","1392"
"4330403","4931"
"4330404","18441"
"4330405","1740"
"4330499","3047"
"4391600","1"
"4399101","1"
"4399103","61743"
"4399105","321"
"4399199","1410"
"4511102","1"
"4520001","15984"
"4520002","7676"
"4520003","2964"
"4520004","278"
"4520005","9658"
"4520006","4352"
"4520007","2581"
"4520008","667"
"4530703","6208"
"4530704","1626"
"4530705","455"
"4530706","1"
"4541201","1"
"4541206","3476"
"4541207","91"
"4543900","4076"
"4618401","1"
"4637107","2"
"4637199","1"
"4642701","2"
"4649401","1"
"4649410","1"
"4649499","1"
"4691500","1"
"4693100","1"
"4711301","1"
"4711302","4"
"4712100","20929"
"4713002","3285"
"4713004","3"
"4721102","5939"
"4721103","2827"
"4721104","1555"
"4722901","5927"
"4722902","865"
"4723700","17030"
"4724500","10583"
"4729601","1156"
"4729699","10961"
"4732600","392"
"4741500","351"
"4742300","1464"
"4743100","2092"
"4744001","1600"
"4744002","741"
"4744003","485"
"4744004","903"
"4744005","4"
"4744099","5884"
"4751201","5100"
"4751202","333"
"4752100","4363"
"4753900","2111"
"4754701","2546"
"4754702","2226"
"4754703","254"
"4755501","664"
"4755502","8186"
"4755503","7269"
"4756300","336"
"4757100","1453"
"4759801","1139"
"4759899","2374"
"4761001","589"
"4761002","489"
"4761003","2084"
"4762800","442"
"4763601","2263"
"4763602","1545"
"4763603","1965"
"4763604","640"
"4771701","180"
"4771703","60"
"4771704","360"
"4772500","16058"
"4773300","815"
"4774100","998"
"4781400","85301"
"4782201","8319"
"4782202","290"
"4783101","2889"
"4783102","472"
"4784900","1148"
"4785701","103"
"4785799","2043"
"4789001","5358"
"4789002","2151"
"4789003","546"
"4789004","6125"
"4789005","2664"
"4789006","25"
"4789007","411"
"4789008","385"
"4789099","7605"
"4921301","3"
"4923001","9747"
"4923002","6"
"4924800","7707"
"4929901","5710"
"4929902","3282"
"4929903","130"
"4929999","37"
"4930201","18763"
"4930202","6825"
"4930204","1960"
"5011401","10"
"5021101","42"
"5091201","29"
"5091202","31"
"5099801","161"
"5099899","47"
"5211702","23"
"5212500","1726"
"5223100","1353"
"5229002","1159"
"5229099","6531"
"5310502","35"
"5320201","1350"
"5320202","14998"
"5510801","4"
"5590601","104"
"5590602","87"
"5590603","483"
"5590699","2060"
"5611201","17393"
"5611203","32400"
"5611204","25955"
"5611205","3023"
"5612100","15918"
"5620101","1615"
"5620102","3518"
"5620103","580"
"5620104","29268"
"5811500","897"
"5812300","54"
"5812301","1008"
"5812302","956"
"5813100","852"
"5819100","4602"
"5822101","1"
"5912001","29"
"5912099","2331"
"5920100","1"
"6190699","1855"
"6311900","1"
"6399200","436"
"6822600","1"
"6920601","750"
"7319002","38729"
"7319003","3292"
"7319099","1662"
"7410202","3"
"7420001","6661"
"7420002","225"
"7420003","41"
"7420004","955"
"7490102","51"
"7500100","1"
"7719599","75"
"7721700","1172"
"7722500","208"
"7723300","766"
"7729201","149"
"7729202","1901"
"7729203","25"
"7729299","25"
"7731400","597"
"7732201","896"
"7732202","146"
"7733100","148"
"7739002","88"
"7739003","474"
"7739099","643"
"7911200","2792"
"7912100","703"
"7990200","403"
"8011101","138"
"8011102","140"
"8020002","252"
"8121400","2"
"8122200","359"
"8129000","1009"
"8130300","4657"
"8211300","1505"
"8219901","884"
"8219999","12037"
"8220200","1"
"8230001","12474"
"8230002","1951"
"8291100","2484"
"8292000","226"
"8299703","45"
"8299707","864"
"8299799","1143"
"8511200","1"
"8591100","1"
"8592901","1"
"8592902","363"
"8592903","1721"
"8592999","4658"
"8593700","1293"
"8599603","2400"
"8599604","10819"
"8599605","1309"
"8599699","13994"
"8690901","1"
"8712300","7801"
"9001901","644"
"9001902","5190"
"9001906","1834"
"9002701","1"
"9002702","268"
"9102302","96"
"9312300","1"
"9313100","1501"
"9329801","2"
"9329803","51"
"9329804","97"
"9329899","991"
"9511800","10521"
"9512600","4689"
"9521500","2858"
"9529101","648"
"9529102","1884"
"9529103","271"
"9529104","865"
"9529105","1998"
"9529106","458"
"9529199","968"
"9601701","1761"
"9601702","21"
"9601703","166"
"9602501","102008"
"9602502","25553"
"9603303","17"
"9603304","198"
"9603399","4"
"9609202","162"
"9609206","2252"
"9609207","582"
"9609208","3274"
"9609299","1839"
"9700500","22389"
