CNAE,TOTAL
"0121101","10"
"0159801","34"
"0159802","33"
"0161001","78"
"0161002","46"
"0161003","557"
"0162802","7"
"0220906","3"
"0312403","1"
"0322104","10"
"0892401","1"
"1012101","18"
"1013901","58"
"1031700","48"
"1032599","12"
"1033301","7"
"1033302","19"
"1052000","68"
"1053800","1"
"1061902","2"
"1063500","30"
"1064300","3"
"1065101","10"
"1069400","6"
"1071600","23"
"1091101","500"
"1091102","998"
"1092900","66"
"1093701","101"
"1093702","18"
"1094500","189"
"1095300","42"
"1096100","203"
"1099601","1"
"1099604","34"
"1099605","11"
"1099699","14"
"1122403","6"
"1122499","1"
"1220499","3"
"1311100","1"
"1312000","2"
"1321900","2"
"1322700","6"
"1340501","73"
"1340599","209"
"1351100","60"
"1352900","248"
"1353700","2"
"1359600","303"
"1411801","62"
"1411802","16"
"1412601","606"
"1412602","935"
"1412603","107"
"1413403","35"
"1414200","11"
"1422300","116"
"1510600","4"
"1521100","29"
"1529700","131"
"1531901","18"
"1531902","9"
"1539400","47"
"1540800","5"
"1622699","333"
"1623400","8"
"1629301","225"
"1629302","50"
"1721400","1"
"1731100","5"
"1732000","3"
"1742701","4"
"1742702","3"
"1749400","108"
"1813001","207"
"1813099","162"
"1821100","81"
"1822901","30"
"1822999","2"
"2052500","10"
"2061400","6"
"2062200","32"
"2063100","8"
"2092402","1"
"2219600","51"
"2229399","21"
"2319200","13"
"2330302","1"
"2330399","134"
"2342702","27"
"2349499","61"
"2391501","2"
"2391502","16"
"2391503","131"
"2399101","29"
"2512800","150"
"2532201","47"
"2539001","612"
"2539002","11"
"2541100","13"
"2542000","1246"
"2543800","21"
"2599301","110"
"2599399","47"
"2740602","1"
"2950600","43"
"3101200","1108"
"3102100","17"
"3103900","26"
"3104700","5"
"3211601","9"
"3211602","11"
"3212400","165"
"3220500","5"
"3230200","7"
"3240099","13"
"3291400","6"
"3292202","3"
"3299002","14"
"3299003","88"
"3299004","45"
"3299005","2"
"3299006","7"
"3299099","813"
"3311200","13"
"3313901","95"
"3313902","3"
"3313999","65"
"3314701","12"
"3314702","45"
"3314706","13"
"3314707","255"
"3314709","10"
"3314710","47"
"3314711","284"
"3314712","97"
"3314719","29"
"3314720","32"
"3314799","19"
"3317102","11"
"3319800","82"
"3321000","177"
"3329501","439"
"3600602","3"
"3702900","41"
"3811400","138"
"3812200","2"
"3831901","74"
"3831999","39"
"3832700","26"
"3839499","55"
"4321500","3136"
"4322301","262"
"4322302","980"
"4322303","34"
"4329101","96"
"4329102","1"
"4329103","6"
"4329104","13"
"4329105","40"
"4329199","1"
"4330401","1"
"4330402","244"
"4330403","379"
"4330404","2409"
"4330405","437"
"4330499","311"
