CNAE,TOTAL
"0121101","56"
"0159801","22"
"0159802","56"
"0161001","97"
"0161002","90"
"0161003","921"
"0162802","7"
"0321304","1"
"0322104","26"
"1012101","61"
"1013901","145"
"1031700","148"
"1032599","20"
"1033301","13"
"1033302","49"
"1052000","129"
"1053800","1"
"1061902","7"
"1063500","151"
"1064300","16"
"1065101","30"
"1069400","18"
"1071600","33"
"1091101","694"
"1091102","1318"
"1092900","105"
"1093701","78"
"1093702","22"
"1094500","289"
"1095300","54"
"1096100","242"
"1099601","2"
"1099604","49"
"1099605","9"
"1099699","18"
"1122403","5"
"1122499","4"
"1220499","2"
"1311100","4"
"1312000","6"
"1321900","2"
"1322700","5"
"1340501","87"
"1340599","206"
"1351100","76"
"1352900","266"
"1359600","278"
"1411801","93"
"1411802","28"
"1412601","682"
"1412602","1347"
"1412603","113"
"1413403","69"
"1414200","12"
"1421500","2"
"1422300","88"
"1510600","3"
"1521100","20"
"1529700","131"
"1531901","14"
"1531902","95"
"1539400","90"
"1540800","4"
"1622699","461"
"1623400","12"
"1629301","294"
"1629302","43"
"1721400","3"
"1731100","7"
"1732000","8"
"1742701","6"
"1742702","4"
"1742799","1"
"1749400","101"
"1813001","178"
"1813099","210"
"1821100","97"
"1822901","29"
"2052500","10"
"2061400","16"
"2062200","23"
"2063100","7"
"2219600","52"
"2229399","23"
"2319200","12"
"2330399","211"
"2342702","23"
"2349499","64"
"2391501","6"
"2391502","39"
"2391503","102"
"2399101","24"
"2512800","247"
"2532201","70"
"2539001","865"
"2539002","12"
"2541100","8"
"2542000","1406"
"2543800","42"
"2599301","219"
"2599399","66"
"2950600","55"
"3101200","1213"
"3102100","17"
"3103900","66"
"3104700","13"
"3211601","15"
"3211602","28"
"3211603","1"
"3212400","214"
"3220500","6"
"3230200","3"
"3240099","8"
"3291400","35"
"3292202","11"
"3299002","13"
"3299003","155"
"3299004","69"
"3299005","12"
"3299006","12"
"3299099","897"
"3311200","23"
"3313901","119"
"3313902","3"
"3313999","97"
"3314701","20"
"3314702","74"
"3314706","21"
"3314707","390"
"3314709","5"
"3314710","57"
"3314711","460"
"3314712","177"
"3314719","32"
"3314720","23"
"3314799","42"
"3317102","17"
"3319800","96"
"3321000","260"
"3329501","498"
"3600602","22"
"3702900","61"
"3811400","417"
"3812200","11"
"3831901","108"
"3831999","37"
"3832700","58"
"3839499","39"
"4321500","4050"
"4322301","277"
"4322302","1621"
"4322303","37"
"4329101","93"
"4329102","1"
"4329103","10"
"4329104","16"
"4329105","24"
"4330402","275"
"4330403","380"
"4330404","2629"
"4330405","476"
"4330499","320"
"4399103","10424"
"4399105","55"
"4399199","614"
"4520001","2859"
"4520002","1149"
"4520003","612"
"4520004","41"
"4520005","1816"
"4520006","1290"
"4520007","483"
"4520008","12"
"4530703","1064"
"4530704","141"
"4530705","111"
"4541206","630"
"4541207","10"
"4543900","907"
"4712100","4417"
"4713002","423"
"4721102","794"
"4721103","159"
"4721104","91"
"4722901","583"
"4722902","255"
"4723700","3788"
"4724500","1564"
"4729601","363"
"4729699","2449"
"4732600","48"
"4741500","49"
"4742300","232"
"4743100","219"
"4744001","212"
"4744002","132"
