CNAE,TOTAL
"0121101","56"
"0159801","22"
"0159802","46"
"0161001","42"
"0161002","19"
"0161003","284"
"0162802","1"
"0220906","1"
"0220999","2"
"0321304","7"
"0322104","49"
"0892401","1"
"1012101","99"
"1013901","57"
"1031700","771"
"1032599","15"
"1033301","266"
"1033302","472"
"1052000","139"
"1053800","1"
"1061902","6"
"1063500","168"
"1064300","6"
"1065101","30"
"1069400","7"
"1071600","5"
"1091101","1127"
"1091102","1377"
"1092900","60"
"1093701","113"
"1093702","29"
"1094500","215"
"1095300","80"
"1096100","214"
"1099601","3"
"1099604","81"
"1099605","6"
"1099699","10"
"1122403","14"
"1122499","10"
"1220499","2"
"1312000","1"
"1321900","3"
"1322700","3"
"1340501","241"
"1340599","142"
"1351100","65"
"1352900","122"
"1353700","8"
"1359600","211"
"1411801","78"
"1411802","33"
"1412601","1076"
"1412602","2040"
"1412603","223"
"1413403","121"
"1414200","11"
"1421500","1"
"1422300","91"
"1510600","9"
"1521100","83"
"1529700","81"
"1531901","13"
"1531902","33"
"1539400","94"
"1540800","6"
"1622699","237"
"1623400","15"
"1629301","203"
"1629302","39"
"1721400","8"
"1731100","21"
"1732000","6"
"1742701","5"
"1742702","1"
"1742799","1"
"1749400","231"
"1813001","409"
"1813099","476"
"1821100","133"
"1822901","41"
"2052500","21"
"2061400","22"
"2062200","56"
"2063100","17"
"2092402","4"
"2219600","52"
"2229399","55"
"2319200","28"
"2330305","2"
"2330399","170"
"2342702","9"
"2349499","99"
"2391501","6"
"2391502","7"
"2391503","122"
"2399101","21"
"2512800","386"
"2532201","62"
"2539001","806"
"2539002","12"
"2541100","1"
"2542000","1206"
"2543800","83"
"2599301","85"
"2599399","76"
"2740602","3"
"2950600","56"
"3101200","1544"
"3102100","31"
"3103900","287"
"3104700","9"
"3211601","9"
"3211602","60"
"3212400","344"
"3220500","19"
"3230200","11"
"3240099","16"
"3291400","125"
"3292202","17"
"3299001","1"
"3299002","21"
"3299003","163"
"3299004","71"
"3299005","6"
"3299006","10"
"3299099","1170"
"3311200","16"
"3313901","231"
"3313902","6"
"3313999","69"
"3314701","31"
"3314702","89"
"3314706","20"
"3314707","611"
"3314709","10"
"3314710","52"
"3314711","74"
"3314712","53"
"3314719","37"
"3314720","31"
"3314799","57"
"3317102","48"
"3319800","94"
"3321000","227"
"3329501","308"
"3600602","44"
"3702900","32"
"3811400","341"
"3812200","7"
"3831901","94"
"3831999","67"
"3832700","44"
"3839499","39"
"4120400","1"
"4321500","3275"
"4322301","205"
"4322302","2003"
"4322303","38"
"4329101","101"
"4329102","15"
"4329103","40"
"4329104","26"
"4329105","32"
"4330402","121"
"4330403","296"
"4330404","1142"
"4330405","93"
"4330499","558"
"4399103","3964"
"4399105","93"
"4399199","88"
"4520001","2170"
"4520002","850"
"4520003","440"
"4520004","28"
"4520005","1466"
"4520006","856"
"4520007","462"
"4520008","66"
"4530703","1818"
"4530704","224"
"4530705","82"
"4541206","3556"
"4541207","61"
"4543900","1175"
"4712100","12425"
"4713002","1034"
"4721102","1250"
"4721103","769"
"4721104","221"
"4722901","1900"
"4722902","947"
"4723700","6160"
"4724500","3176"
"4729601","101"
