CNAE,TOTAL
"0121101","21"
"0159801","19"
"0159802","48"
"0161001","19"
"0161002","24"
"0161003","129"
"0162802","1"
"0321304","3"
"0322104","19"
"0892401","1"
"1012101","80"
"1013901","41"
"1031700","101"
"1032599","12"
"1033301","7"
"1033302","13"
"1052000","85"
"1053800","1"
"1061902","1"
"1063500","25"
"1064300","12"
"1065101","11"
"1069400","3"
"1071600","9"
"1091101","509"
"1091102","1258"
"1092900","65"
"1093701","63"
"1093702","11"
"1094500","421"
"1095300","35"
"1096100","131"
"1099601","1"
"1099604","58"
"1099605","11"
"1099699","7"
"1122403","3"
"1122499","8"
"1220499","3"
"1311100","4"
"1312000","3"
"1321900","13"
"1322700","7"
"1340501","86"
"1340599","112"
"1351100","122"
"1352900","36"
"1353700","13"
"1359600","313"
"1411801","66"
"1411802","7"
"1412601","746"
"1412602","1086"
"1412603","154"
"1413403","62"
"1414200","21"
"1422300","62"
"1510600","6"
"1521100","97"
"1529700","77"
"1531901","62"
"1531902","19"
"1539400","103"
"1540800","10"
"1622602","1"
"1622699","79"
"1623400","3"
"1629301","240"
"1629302","27"
"1721400","3"
"1731100","26"
"1732000","17"
"1742701","2"
"1742702","3"
"1742799","4"
"1749400","178"
"1813001","259"
"1813099","356"
"1821100","165"
"1822901","44"
"1822999","3"
"2052500","14"
"2061400","10"
"2062200","76"
"2063100","17"
"2219600","55"
"2229399","55"
"2319200","29"
"2330305","1"
"2330399","130"
"2342702","4"
"2349499","49"
"2391501","33"
"2391502","15"
"2391503","163"
"2399101","19"
"2512800","296"
"2532201","58"
"2539001","293"
"2539002","5"
"2541100","1"
"2542000","982"
"2543800","38"
"2599301","70"
"2599399","47"
"2740602","6"
"2950600","35"
"3101200","1089"
"3102100","14"
"3103900","36"
"3104700","9"
"3211601","9"
"3211602","13"
"3212400","293"
"3220500","6"
"3230200","7"
"3240099","11"
"3291400","24"
"3292202","21"
"3299001","4"
"3299002","18"
"3299003","91"
"3299004","34"
"3299005","6"
"3299006","8"
"3299099","859"
"3311200","16"
"3313901","65"
"3313902","3"
"3313999","29"
"3314701","8"
"3314702","50"
"3314706","14"
"3314707","224"
"3314709","6"
"3314710","26"
"3314711","8"
"3314712","9"
"3314719","10"
"3314720","36"
"3314799","9"
"3317102","9"
"3319800","55"
"3321000","145"
"3329501","309"
"3600602","143"
"3702900","17"
"3811400","123"
"3812200","2"
"3831901","34"
"3831999","14"
"3832700","48"
"3839499","28"
"4321500","2105"
"4322301","184"
"4322302","726"
"4322303","33"
"4329101","64"
"4329103","15"
"4329104","16"
"4329105","17"
"4330402","70"
"4330403","395"
"4330404","918"
"4330405","142"
"4330499","245"
"4399103","2904"
"4399105","34"
"4399199","33"
"4520001","1478"
"4520002","523"
"4520003","188"
"4520004","21"
"4520005","751"
"4520006","497"
"4520007","280"
"4520008","73"
"4530703","1853"
"4530704","189"
"4530705","67"
"4541206","1636"
"4541207","33"
"4543900","789"
"4632001","1"
"4711301","1"
"4712100","7772"
"4713002","752"
"4713004","1"
"4721102","976"
"4721103","653"
"4721104","488"
"4722901","1131"
"4722902","239"
"4723700","4226"
"4724500","2058"
"4729601","55"
"4729602","1"
"4729699","1599"
"4732600","104"
"4741500","59"
"4742300","178"
"4743100","288"
"4744001","383"
"4744002","53"
"4744003","46"
"4744004","176"
"4744005","4"
"4744099","1994"
"4751201","885"
"4751202","75"
"4752100","775"
"4753900","385"
"4754701","547"
"4754702","1278"
"4754703","33"
"4755501","131"
"4755502","2553"
"4755503","1096"
"4756300","45"
"4757100","284"
"4759801","99"
"4759899","415"
"4761001","104"
"4761002","22"
"4761003","280"
"4762800","111"
"4763601","209"
"4763602","261"
"4763603","259"
"4763604","58"
"4771701","38"
"4771703","10"
"4771704","82"
"4772500","3269"
"4773300","142"
"4774100","802"
"4781400","10709"
"4782201","856"
"4782202","59"
"4783101","404"
"4783102","118"
"4784900","340"
"4785701","11"
"4785799","145"
"4789001","528"
"4789002","152"
"4789003","69"
"4789004","1261"
"4789005","608"
"4789006","14"
"4789007","47"
"4789008","61"
"4789099","1495"
"4923001","2514"
"4924800","879"
"4929901","962"
"4929902","467"
"4929903","34"
"4929904","1"
"4929999","2"
"4930201","873"
"4930202","475"
"4930204","212"
"5021101","12"
"5091202","6"
"5099801","33"
"5099899","8"
"5211702","5"
"5212500","235"
"5223100","81"
"5229002","38"
"5229099","597"
"5310502","10"
"5320201","94"
"5320202","1088"
"5510801","2"
"5590601","8"
"5590602","7"
"5590603","30"
"5590699","191"
"5611201","2795"
"5611203","4118"
"5611204","1436"
"5611205","212"
"5612100","2073"
"5620101","283"
"5620102","400"
"5620103","104"
"5620104","3181"
"5811500","98"
"5812300","6"
"5812301","232"
"5812302","98"
"5813100","83"
"5819100","575"
"5912001","6"
"5912099","294"
"6190699","295"
"6399200","59"
"6920601","127"
"7312200","1"
"7319002","3654"
"7319003","516"
"7319099","218"
"7420001","825"
"7420002","22"
"7420003","20"
"7420004","166"
"7490102","1"
"7719599","33"
"7721700","196"
"7722500","20"
"7723300","85"
"7729201","25"
"7729202","236"
"7729203","6"
"7729299","3"
"7731400","48"
"7732201","108"
"7732202","21"
"7733100","26"
"7739002","15"
"7739003","79"
"7739099","70"
"7911200","591"
"7912100","129"
"7990200","91"
"8011101","25"
"8011102","8"
"8020002","50"
"8121400","1"
"8122200","91"
"8129000","158"
"8130300","273"
"8211300","114"
"8219901","245"
"8219999","1181"
"8230001","1302"
"8230002","261"
"8291100","264"
"8292000","13"
"8299703","5"
"8299707","213"
"8299799","130"
"8512100","1"
"8513900","5"
"8592902","14"
"8592903","98"
"8592999","323"
"8593700","78"
"8599603","335"
"8599604","956"
"8599605","317"
"8599699","1645"
"8712300","435"
"9001901","41"
"9001902","537"
"9001906","176"
"9002702","9"
"9102302","11"
"9313100","218"
"9329803","12"
"9329804","17"
"9329899","110"
"9511800","1246"
"9512600","501"
"9521500","401"
"9529101","43"
"9529102","153"
"9529103","61"
"9529104","53"
"9529105","269"
"9529106","44"
"9529199","112"
"9601701","141"
"9601702","2"
"9601703","15"
"9602501","9353"
"9602502","1985"
"9603303","6"
"9603304","34"
"9609202","16"
"9609206","205"
"9609207","29"
"9609208","221"
"9609299","260"
"9700500","1136"
