CNAE,TOTAL
"0121101","23"
"0159801","21"
"0159802","111"
"0161001","50"
"0161002","56"
"0161003","245"
"0162803","1"
"0311604","1"
"0321304","6"
"0322104","53"
"0892401","1"
"1012101","128"
"1013901","70"
"1031700","198"
"1032599","27"
"1033301","24"
"1033302","41"
"1052000","110"
"1061902","3"
"1063500","28"
"1064300","19"
"1065101","14"
"1069400","9"
"1071600","7"
"1091101","1003"
"1091102","3034"
"1092900","136"
"1093701","200"
"1093702","54"
"1094500","875"
"1095300","112"
"1096100","553"
"1099601","4"
"1099604","99"
"1099605","17"
"1099699","16"
"1122403","12"
"1122499","29"
"1220499","1"
"1311100","7"
"1312000","3"
"1321900","4"
"1322700","8"
"1340501","344"
"1340599","364"
"1351100","241"
"1352900","50"
"1353700","10"
"1359600","744"
"1411801","224"
"1411802","92"
"1412601","3930"
"1412602","2752"
"1412603","1720"
"1413401","1"
"1413403","257"
"1414200","31"
"1421500","1"
"1422300","93"
"1510600","8"
"1521100","281"
"1529700","180"
"1531901","40"
"1531902","33"
"1539400","124"
"1540800","9"
"1622699","249"
"1623400","22"
"1629301","564"
"1629302","67"
"1721400","7"
"1731100","53"
"1732000","42"
"1742701","13"
"1742702","4"
"1742799","1"
"1749400","431"
"1813001","613"
"1813099","649"
"1821100","389"
"1822901","113"
"1822999","8"
"1830001","1"
"2052500","40"
"2061400","26"
"2062200","108"
"2063100","31"
"2092402","1"
"2219600","125"
"2229399","83"
"2319200","56"
"2330305","1"
"2330399","219"
"2342702","7"
"2349499","221"
"2391501","19"
"2391502","22"
"2391503","328"
"2399101","57"
"2512800","347"
"2532201","95"
"2539001","657"
"2539002","8"
"2541100","4"
"2542000","2511"
"2543800","64"
"2599301","169"
"2599399","140"
"2740602","20"
"2950600","76"
"3101200","2709"
"3102100","33"
"3103900","76"
"3104700","18"
"3211601","13"
"3211602","50"
"3211603","2"
"3212400","746"
"3220500","27"
"3230200","15"
"3240099","73"
"3291400","62"
"3292202","47"
"3299001","9"
"3299002","42"
"3299003","224"
"3299004","70"
"3299005","44"
"3299006","21"
"3299099","2526"
"3311200","59"
"3313901","219"
"3313902","12"
"3313999","78"
"3314701","17"
"3314702","129"
"3314706","39"
"3314707","813"
"3314709","14"
"3314710","102"
"3314711","42"
"3314712","27"
"3314719","67"
"3314720","72"
"3314799","55"
"3317102","40"
"3319800","95"
"3321000","465"
