CNAE,TOTAL
"0121101","8"
"0159801","15"
"0159802","39"
"0161001","10"
"0161002","15"
"0161003","105"
"0322104","13"
"1012101","25"
"1013901","22"
"1031700","66"
"1032599","12"
"1033301","16"
"1033302","27"
"1052000","19"
"1061902","16"
"1063500","6"
"1064300","2"
"1065101","3"
"1069400","1"
"1071600","6"
"1091101","279"
"1091102","650"
"1092900","25"
"1093701","58"
"1093702","18"
"1094500","93"
"1095300","57"
"1096100","44"
"1099601","2"
"1099604","27"
"1099605","2"
"1099699","8"
"1122403","5"
"1122499","2"
"1321900","2"
"1322700","6"
"1340501","64"
"1340599","90"
"1351100","29"
"1352900","21"
"1353700","3"
"1359600","116"
"1411801","45"
"1411802","18"
"1412601","671"
"1412602","1213"
"1412603","132"
"1413403","33"
"1414200","3"
"1422300","28"
"1510600","2"
"1521100","49"
"1529700","17"
"1531901","15"
"1531902","5"
"1539400","49"
"1540800","1"
"1622699","83"
"1623400","2"
"1629301","86"
"1629302","24"
"1731100","9"
"1732000","3"
"1749400","66"
"1813001","155"
"1813099","187"
"1821100","52"
"1822901","17"
"1822999","1"
"2052500","12"
"2061400","10"
"2062200","20"
"2063100","3"
"2219600","20"
"2229399","21"
"2319200","11"
"2330305","1"
"2330399","75"
"2342702","3"
"2349499","42"
"2391501","7"
"2391502","12"
"2391503","54"
"2399101","12"
"2512800","291"
"2532201","28"
"2539001","182"
"2541100","3"
"2542000","485"
"2543800","39"
"2599301","23"
"2599399","34"
"2740602","1"
"2950600","12"
"3101200","506"
"3102100","19"
"3103900","19"
"3104700","1"
"3211601","4"
"3211602","10"
"3212400","92"
"3220500","5"
"3230200","2"
"3240099","14"
"3291400","6"
"3292202","10"
"3299002","4"
"3299003","41"
"3299004","23"
"3299005","3"
"3299006","1"
"3299099","545"
"3311200","3"
"3313901","54"
"3313999","32"
"3314701","3"
"3314702","24"
"3314706","8"
"3314707","156"
"3314709","3"
"3314710","12"
"3314711","16"
"3314712","10"
"3314719","7"
"3314720","7"
"3314799","5"
"3317102","2"
"3319800","21"
"3321000","51"
"3329501","160"
"3600602","19"
"3702900","29"
"3811400","96"
"3812200","3"
"3831901","37"
"3831999","11"
"3832700","14"
"3839499","19"
"4321500","1074"
"4322301","105"
"4322302","677"
"4322303","5"
"4329101","35"
"4329102","2"
"4329103","2"
"4329104","8"
"4329105","8"
"4330402","35"
"4330403","236"
"4330404","497"
"4330405","35"
"4330499","112"
"4399103","1761"
"4399105","11"
"4399199","14"
"4520001","881"
"4520002","257"
"4520003","138"
"4520004","9"
"4520005","489"
"4520006","355"
"4520007","159"
"4520008","34"
"4530703","699"
"4530704","67"
"4530705","31"
"4541206","1254"
"4541207","11"
"4543900","671"
"4686902","1"
"4712100","5286"
"4713002","623"
"4721102","320"
"4721103","233"
"4721104","125"
