CNAE,TOTAL
"0121101","65"
"0159801","100"
"0159802","204"
"0161001","142"
"0161002","265"
"0161003","1443"
"0162802","29"
"0162803","2"
"0220906","5"
"0321304","6"
"0322104","56"
"0892401","2"
"1012101","32"
"1013901","333"
"1031700","192"
"1032599","111"
"1033301","37"
"1033302","85"
"1052000","104"
"1053800","10"
"1061901","1"
"1061902","12"
"1063500","10"
"1064300","15"
"1065101","13"
"1069400","27"
"1071600","12"
"1091101","1848"
"1091102","4422"
"1092900","307"
"1093701","364"
"1093702","69"
"1094500","1157"
"1095300","132"
"1096100","829"
"1099601","10"
"1099604","110"
"1099605","49"
"1099699","89"
"1122403","11"
"1122499","2"
"1220499","18"
"1311100","7"
"1312000","14"
"1321900","16"
"1322700","58"
"1340501","517"
"1340599","1198"
"1351100","408"
"1352900","554"
"1353700","11"
"1359600","1886"
"1411801","469"
"1411802","158"
"1412601","8262"
"1412602","6296"
"1412603","2466"
"1413402","1"
"1413403","312"
"1414200","131"
"1421500","3"
"1422300","791"
"1510600","9"
"1521100","265"
"1529700","260"
"1531901","48"
"1531902","47"
"1539400","236"
"1540800","23"
"1622699","858"
"1623400","64"
"1629301","1291"
"1629302","161"
"1721400","11"
"1731100","84"
"1732000","31"
"1742701","21"
"1742702","7"
"1742799","5"
"1749400","589"
"1813001","678"
"1813099","794"
"1821100","828"
"1822901","137"
"1822999","4"
"2052500","12"
"2061400","21"
"2062200","86"
"2063100","39"
"2092402","2"
"2219600","221"
"2229399","192"
"2319200","70"
"2330399","562"
"2342702","43"
"2349499","197"
"2391501","51"
"2391502","51"
"2391503","576"
"2399101","147"
"2512800","1218"
"2532201","396"
"2539001","2718"
"2539002","79"
"2541100","51"
"2542000","3542"
"2543800","256"
"2599301","547"
"2599399","329"
"2640000","1"
"2740602","48"
"2829101","1"
"2950600","119"
"3101200","4995"
"3102100","72"
"3103900","242"
"3104700","50"
"3211601","20"
"3211602","68"
"3211603","2"
"3212400","845"
"3220500","62"
"3230200","64"
"3240099","130"
"3291400","96"
"3292202","48"
"3299001","3"
"3299002","49"
"3299003","360"
"3299004","163"
"3299005","25"
"3299006","57"
"3299099","4259"
"3311200","111"
"3313901","421"
"3313902","13"
"3313999","271"
"3314701","80"
"3314702","302"
"3314706","64"
"3314707","770"
"3314709","35"
"3314710","252"
"3314711","678"
"3314712","197"
"3314719","182"
"3314720","162"
"3314799","350"
"3317102","105"
"3319800","237"
"3321000","1616"
"3329501","3301"
"3600602","12"
"3702900","151"
"3811400","545"
"3812200","7"
"3831901","344"
"3831999","196"
"3832700","324"
"3839499","416"
"4120400","2"
"4292801","3"
"4321500","13767"
"4322301","1854"
"4322302","2266"
"4322303","90"
"4329101","401"
"4329102","9"
"4329103","71"
"4329104","95"
"4329105","101"
"4330402","1237"
"4330403","2035"
"4330404","14792"
"4330405","3034"
"4330499","2189"
"4399103","47972"
"4399105","113"
"4399199","1855"
"4511102","1"
"4520001","8996"
"4520002","5050"
"4520003","1966"
"4520004","126"
"4520005","6236"
"4520006","3080"
"4520007","1928"
"4520008","54"
"4530703","3530"
"4530704","644"
"4530705","341"
"4541206","1284"
"4541207","36"
"4542102","1"
"4543900","1754"
"4669999","1"
"4711301","1"
"4712100","9964"
"4713002","1752"
"4713004","1"
"4721102","2782"
"4721103","569"
"4721104","891"
"4722901","768"
"4722902","361"
"4723700","9666"
"4724500","3356"
"4729601","1708"
"4729699","5808"
"4732600","171"
"4741500","234"
"4742300","664"
"4743100","906"
"4744001","870"
"4744002","535"
"4744003","129"
"4744004","169"
"4744099","1348"
"4751201","3624"
"4751202","118"
"4752100","1819"
"4753900","1539"
"4754701","1678"
"4754702","621"
"4754703","152"
"4755501","278"
"4755502","2532"
"4755503","3115"
"4756300","206"
"4757100","812"
"4759801","666"
"4759899","1489"
"4761001","419"
"4761002","221"
"4761003","732"
"4762800","165"
"4763601","1582"
"4763602","664"
"4763603","841"
"4763604","443"
"4763605","1"
"4771701","40"
"4771703","21"
"4771704","135"
"4772500","8005"
"4773300","347"
"4774100","415"
"4781400","44676"
"4782201","1674"
"4782202","147"
"4783101","1103"
"4783102","185"
"4784900","408"
"4785701","55"
"4785799","1372"
"4789001","3573"
"4789002","1202"
"4789003","267"
"4789004","3100"
"4789005","2134"
"4789006","15"
"4789007","186"
"4789008","234"
"4789099","4163"
"4921301","1"
"4923001","2045"
"4924800","2096"
"4929901","3480"
"4929902","1098"
"4929903","33"
"4929999","38"
"4930201","8837"
"4930202","3867"
"4930204","1252"
"5011401","29"
"5021101","12"
"5091201","20"
"5091202","26"
"5099801","54"
"5099899","41"
"5211702","36"
"5212500","1048"
"5223100","835"
"5229002","645"
"5229099","12165"
