CNAE,TOTAL
"0121101","64"
"0159801","71"
"0159802","675"
"0161001","85"
"0161002","144"
"0161003","1007"
"0162802","19"
"0162803","2"
"0170900","1"
"0220906","3"
"0311604","12"
"0312403","1"
"0321304","20"
"0322104","109"
"0322199","1"
"0892401","7"
"1012101","243"
"1013901","408"
"1031700","346"
"1032599","130"
"1033301","85"
"1033302","168"
"1052000","375"
"1053800","9"
"1061902","5"
"1063500","44"
"1064300","9"
"1065101","30"
"1069400","25"
"1071600","24"
"1091101","3810"
"1091102","12721"
"1092900","377"
"1093701","1199"
"1093702","200"
"1094500","2352"
"1095300","188"
"1096100","3693"
"1099601","11"
"1099604","204"
"1099605","67"
"1099699","57"
"1122403","25"
"1122499","20"
"1220499","6"
"1311100","12"
"1312000","7"
"1321900","8"
"1322700","47"
"1340501","1659"
"1340599","1598"
"1351100","281"
"1352900","116"
"1353700","11"
"1359600","3391"
"1411801","855"
"1411802","747"
"1412601","11128"
"1412602","11202"
"1412603","2782"
"1413403","467"
"1414200","70"
"1421500","3"
"1422300","669"
"1510600","5"
"1521100","598"
"1529700","505"
"1531901","63"
"1531902","157"
"1539400","326"
"1540800","29"
"1622699","1593"
"1623400","52"
"1629301","2301"
"1629302","448"
"1721400","29"
"1731100","138"
"1732000","76"
"1742701","62"
"1742702","13"
"1742799","5"
"1749400","2077"
"1813001","1430"
"1813099","1435"
"1821100","1521"
"1822901","289"
"1822999","13"
"2052500","44"
"2061400","41"
"2062200","187"
"2063100","165"
"2092402","7"
"2219600","498"
"2229399","399"
"2319200","188"
"2330305","5"
"2330399","875"
"2342702","41"
"2349499","682"
"2391501","42"
"2391502","70"
"2391503","658"
"2399101","328"
"2512800","1025"
"2532201","160"
"2539001","2375"
"2539002","53"
"2541100","22"
"2542000","8925"
"2543800","207"
"2599301","757"
"2599399","447"
"2740602","67"
"2950600","269"
"3101200","7615"
"3102100","41"
"3103900","163"
"3104700","36"
"3211601","43"
"3211602","337"
"3211603","6"
"3212400","5594"
"3220500","92"
"3230200","91"
"3240099","185"
"3291400","211"
"3292202","79"
"3299001","8"
"3299002","94"
"3299003","778"
"3299004","258"
"3299005","53"
"3299006","150"
"3299099","11454"
"3311200","188"
"3312103","1"
"3313901","520"
"3313902","17"
"3313999","313"
"3314701","85"
"3314702","485"
"3314706","253"
"3314707","2954"
"3314708","1"
"3314709","59"
"3314710","291"
"3314711","104"
"3314712","25"
"3314719","176"
"3314720","176"
"3314799","164"
"3317102","414"
"3319800","349"
"3321000","1746"
"3329501","2684"
"3329599","1"
"3600602","196"
"3702900","104"
"3811400","728"
"3812200","36"
"3831901","400"
"3831999","309"
"3832700","387"
"3839499","335"
"4120400","1"
"4321500","22806"
"4322301","3371"
"4322302","7325"
"4322303","326"
"4329101","528"
"4329102","111"
"4329103","216"
"4329104","166"
"4329105","262"
"4329199","1"
"4330402","1227"
"4330403","3110"
"4330404","12825"
"4330405","2185"
"4330499","3008"
"4399103","49941"
"4399105","167"
"4399199","381"
"4520001","12955"
"4520002","5807"
"4520003","2313"
"4520004","202"
"4520005","4370"
"4520006","2343"
"4520007","2626"
"4520008","523"
"4530703","4408"
"4530704","828"
"4530705","163"
"4541206","1612"
"4541207","69"
"4543900","2013"
"4632003","1"
"4651601","1"
"4712100","16310"
"4713002","3504"
"4721102","6024"
"4721103","4526"
"4721104","2330"
"4722901","1787"
"4722902","1879"
"4723700","20493"
"4724500","8694"
"4729601","560"
"4729699","9459"
"4732600","225"
"4741500","267"
"4742300","895"
"4743100","1166"
"4744001","1181"
"4744002","353"
"4744003","390"
"4744004","860"
"4744005","1"
"4744099","9429"
"4751201","5921"
"4751202","277"
"4752100","4323"
"4753900","1644"
"4754701","2162"
"4754702","851"
"4754703","332"
"4755501","493"
"4755502","10033"
"4755503","5723"
"4756300","343"
"4757100","1306"
"4759801","930"
"4759899","1818"
"4761001","795"
"4761002","1352"
"4761003","1224"
"4762800","386"
"4763601","1665"
"4763602","1645"
"4763603","1426"
"4763604","504"
"4771701","238"
"4771703","68"
"4771704","185"
"4772500","15943"
"4773300","1186"
"4774100","2155"
"4781400","73622"
"4782201","2917"
"4782202","313"
"4783101","2394"
"4783102","661"
"4784900","268"
"4785701","378"
"4785799","1724"
"4789001","5401"
"4789002","1594"
"4789003","660"
"4789004","7482"
"4789005","3573"
"4789006","5"
"4789007","483"
"4789008","462"
"4789099","9907"
"4923001","9624"
"4923002","4"
"4924800","4123"
"4929901","9514"
"4929902","5702"
"4929903","338"
"4929904","1"
"4929999","2"
"4930201","17428"
"4930202","3636"
"4930204","2565"
"5011401","86"
"5021101","58"
"5091201","148"
"5091202","51"
"5099801","681"
"5099899","350"
"5211702","54"
"5212500","1504"
"5223100","1126"
"5229002","1165"
"5229099","8186"
"5310502","83"
"5320201","1872"
"5320202","14997"
"5510801","2"
"5590601","292"
"5590602","76"
"5590603","2384"
"5590699","2152"
"5611201","23616"
"5611203","32757"
"5611204","16138"
"5611205","2087"
"5612100","27132"
"5620101","4617"
"5620102","6025"
"5620103","1344"
"5620104","52586"
"5811500","1867"
"5812300","33"
"5812301","1289"
"5812302","1044"
"5813100","1196"
"5819100","5380"
"5912001","265"
"5912099","4499"
"6190601","1"
"6190699","2169"
"6209100","1"
"6399200","458"
"6821801","1"
"6911702","1"
"6920601","1605"
"7119701","1"
"7312200","1"
"7319002","40436"
"7319003","4372"
"7319099","838"
"7420001","9002"
"7420002","229"
"7420003","40"
"7420004","1636"
"7490101","1"
