CNAE,TOTAL
"0121101","20"
"0159801","14"
"0159802","42"
"0161001","17"
"0161002","25"
"0161003","131"
"0162802","3"
"0170900","2"
"0312403","1"
"0321304","6"
"0322104","24"
"0892401","4"
"1012101","18"
"1013901","24"
"1031700","166"
"1032599","11"
"1033301","11"
"1033302","31"
"1052000","93"
"1063500","30"
"1064300","12"
"1065101","27"
"1069400","7"
"1071600","13"
"1091101","439"
"1091102","1044"
"1092900","102"
"1093701","82"
"1093702","23"
"1094500","412"
"1095300","39"
"1096100","178"
"1099604","56"
"1099605","10"
"1099699","15"
"1122403","5"
"1122499","9"
"1220499","1"
"1311100","3"
"1312000","2"
"1321900","1"
"1322700","6"
"1340501","72"
"1340599","200"
"1351100","78"
"1352900","14"
"1353700","2"
"1359600","326"
"1411801","74"
"1411802","27"
"1412601","703"
"1412602","1167"
"1412603","126"
"1413403","42"
"1414200","51"
"1422300","57"
"1510600","2"
"1521100","82"
"1529700","43"
"1531901","46"
"1531902","8"
"1539400","38"
"1540800","1"
"1622699","110"
"1623400","6"
"1629301","199"
"1629302","32"
"1721400","3"
"1731100","22"
"1732000","8"
"1742701","5"
"1742702","3"
"1749400","196"
"1813001","314"
"1813099","373"
"1821100","146"
"1822901","43"
"1822999","1"
"2052500","20"
"2061400","12"
"2062200","57"
"2063100","6"
"2092402","1"
"2219600","51"
"2229399","53"
"2319200","22"
"2330305","1"
"2330399","122"
"2342702","7"
"2349499","59"
"2391501","1"
"2391502","13"
"2391503","105"
"2399101","34"
"2512800","230"
"2532201","39"
"2539001","473"
"2539002","6"
"2541100","4"
"2542000","654"
"2543800","32"
"2599301","105"
"2599399","56"
"2740602","6"
"2950600","38"
"3101200","1089"
"3102100","13"
"3103900","27"
"3104700","5"
"3211601","6"
"3211602","14"
"3212400","308"
"3220500","13"
"3230200","10"
"3240099","9"
"3291400","45"
"3292202","16"
"3299001","4"
"3299002","16"
"3299003","73"
"3299004","31"
"3299005","5"
"3299006","2"
"3299099","1081"
"3311200","15"
"3313901","111"
"3313999","49"
"3314701","11"
"3314702","49"
"3314706","13"
"3314707","245"
"3314709","4"
"3314710","36"
"3314711","27"
"3314712","14"
"3314719","29"
"3314720","26"
"3314799","16"
"3317102","4"
"3319800","61"
"3321000","174"
"3329501","202"
"3600602","131"
"3702900","18"
"3811400","83"
"3812200","8"
"3831901","67"
"3831999","30"
"3832700","30"
"3839499","40"
"4321500","2099"
"4322301","165"
"4322302","850"
"4322303","39"
"4329101","44"
"4329102","8"
"4329103","17"
"4329104","18"
"4329105","12"
"4330402","102"
"4330403","421"
"4330404","1271"
"4330405","133"
"4330499","219"
"4399103","2977"
"4399105","28"
"4399199","33"
"4520001","1486"
