CNAE,TOTAL
"0121101","40"
"0159801","6"
"0159802","11"
"0161001","6"
"0161002","4"
"0161003","109"
"0162802","1"
"0321304","2"
"0322104","6"
"1012101","3"
"1013901","34"
"1031700","72"
"1032501","1"
"1032599","2"
"1033301","8"
"1033302","12"
"1052000","25"
"1061902","2"
"1063500","20"
"1064300","4"
"1065101","6"
"1069400","7"
"1071600","2"
"1081302","1"
"1091101","285"
"1091102","369"
"1092900","22"
"1093701","23"
"1093702","13"
"1094500","74"
"1095300","18"
"1096100","65"
"1099601","2"
"1099604","24"
"1099605","2"
"1099699","6"
"1122403","3"
"1321900","1"
"1322700","2"
"1340501","32"
"1340599","57"
"1351100","18"
"1352900","104"
"1353700","1"
"1359600","102"
"1411801","45"
"1411802","20"
"1412601","243"
"1412602","551"
"1412603","55"
"1413403","30"
"1414200","5"
"1422300","30"
"1521100","5"
"1529700","68"
"1531901","2"
"1531902","3"
"1539400","22"
"1540800","2"
"1622699","90"
"1623400","8"
"1629301","111"
"1629302","7"
"1721400","1"
"1731100","4"
"1732000","1"
"1742701","1"
"1742702","1"
"1749400","27"
"1813001","73"
"1813099","64"
"1821100","32"
"1822901","14"
"1822999","2"
"2052500","3"
"2061400","2"
"2062200","5"
"2063100","3"
"2219600","30"
"2229399","9"
"2330305","2"
"2330399","88"
"2342702","4"
"2349499","15"
"2391502","3"
"2391503","44"
"2399101","7"
"2512800","77"
"2532201","43"
"2539001","278"
"2539002","2"
"2541100","8"
"2542000","501"
"2543800","17"
"2599301","34"
"2599399","27"
"2740602","3"
"2950600","22"
"3101200","404"
"3102100","5"
"3103900","48"
"3104700","2"
"3211601","4"
"3211602","10"
"3212400","47"
"3220500","3"
"3230200","5"
"3240099","6"
"3291400","4"
"3292202","6"
"3299002","7"
"3299003","54"
"3299004","25"
"3299005","2"
"3299006","5"
"3299099","305"
"3311200","9"
"3313901","51"
"3313902","2"
"3313999","19"
"3314701","9"
"3314702","23"
"3314706","11"
"3314707","191"
"3314709","3"
"3314710","17"
"3314711","55"
"3314712","27"
"3314719","9"
"3314720","10"
"3314799","13"
"3317102","7"
"3319800","20"
"3321000","53"
"3329501","88"
"3600602","11"
"3702900","23"
"3811400","57"
"3812200","2"
"3831901","36"
"3831999","13"
"3832700","8"
"3839499","14"
"4321500","1033"
"4322301","48"
"4322302","735"
"4322303","11"
"4329101","25"
"4329102","1"
"4329103","1"
"4329104","3"
"4329105","4"
"4330402","46"
"4330403","139"
"4330404","591"
"4330405","71"
"4330499","106"
"4399103","2659"
"4399105","25"
"4399199","107"
"4520001","855"
"4520002","422"
"4520003","217"
"4520004","9"
"4520005","802"
"4520006","437"
"4520007","186"
"4520008","2"
"4530703","469"
"4530704","80"
"4530705","24"
"4541206","1064"
"4541207","9"
"4543900","622"
"4712100","1647"
"4713002","246"
"4721102","281"
"4721103","71"
"4721104","35"
"4722901","204"
"4722902","101"
"4723700","1344"
"4724500","383"
"4729601","134"
"4729699","936"
"4732600","13"
"4741500","18"
"4742300","105"
"4743100","146"
"4744001","111"
"4744002","50"
"4744003","25"
"4744004","34"
"4744099","299"
"4751201","362"
"4751202","24"
"4752100","332"
"4753900","133"
"4754701","209"
"4754702","147"
"4754703","10"
"4755501","34"
"4755502","403"
"4755503","523"
"4756300","22"
"4757100","142"
"4759801","67"
"4759899","230"
"4761001","41"
"4761002","7"
"4761003","70"
"4762800","12"
"4763601","140"
"4763602","68"
"4763603","288"
"4763604","47"
"4771701","9"
"4771703","25"
"4771704","59"
"4772500","1242"
"4773300","50"
"4774100","72"
"4781400","5695"
"4782201","228"
"4782202","8"
"4783101","165"
"4783102","55"
"4784900","38"
"4785701","1"
"4785799","105"
"4789001","209"
"4789002","161"
"4789003","17"
"4789004","299"
"4789005","122"
"4789006","1"
"4789007","13"
"4789008","30"
"4789099","468"
"4923001","1349"
"4924800","51"
"4929901","150"
"4929902","44"
"4929903","4"
"4930201","520"
"4930202","201"
"4930204","124"
"5011401","4"
"5021101","6"
"5091201","2"
"5091202","2"
"5099801","5"
"5099899","6"
"5212500","89"
"5223100","18"
"5229002","13"
"5229099","224"
"5310502","5"
"5320201","40"
"5320202","651"
"5590601","4"
"5590602","5"
"5590603","23"
"5590699","147"
"5611201","1330"
"5611203","2164"
"5611204","1034"
"5611205","175"
"5612100","830"
"5620101","79"
"5620102","146"
"5620103","57"
"5620104","1044"
