CNAE,TOTAL
"0121101","3"
"0159801","3"
"0159802","3"
"0161001","3"
"0161002","1"
"0161003","28"
"0322104","2"
"1012101","2"
"1013901","11"
"1031700","22"
"1032599","1"
"1033301","3"
"1033302","3"
"1052000","11"
"1063500","5"
"1064300","1"
"1065101","5"
"1091101","72"
"1091102","123"
"1092900","6"
"1093701","10"
"1093702","3"
"1094500","12"
"1095300","6"
"1096100","10"
"1099604","5"
"1340501","21"
"1340599","11"
"1352900","24"
"1359600","14"
"1411801","5"
"1411802","1"
"1412601","36"
"1412602","137"
"1412603","8"
"1413403","3"
"1414200","1"
"1422300","3"
"1521100","1"
"1529700","1"
"1531902","2"
"1539400","3"
"1622699","14"
"1623400","1"
"1629301","13"
"1629302","5"
"1731100","3"
"1732000","1"
"1742701","1"
"1749400","6"
"1813001","27"
"1813099","6"
"1821100","5"
"1822901","3"
"2061400","1"
"2062200","2"
"2092402","1"
"2219600","6"
"2229399","1"
"2330399","23"
"2342702","2"
"2349499","3"
"2391501","1"
"2391503","10"
"2399101","2"
"2512800","10"
"2532201","3"
"2539001","28"
"2542000","147"
"2599301","8"
"2599399","2"
"2740602","1"
"2950600","7"
"3101200","96"
"3102100","1"
"3103900","24"
"3211601","1"
"3211602","9"
"3212400","13"
"3220500","2"
"3230200","1"
"3240099","2"
"3299002","1"
"3299003","9"
"3299004","7"
"3299006","2"
"3299099","55"
"3311200","1"
"3313901","11"
"3313999","1"
"3314701","1"
"3314702","4"
"3314707","56"
"3314709","1"
"3314710","2"
"3314711","11"
"3314712","2"
"3314720","2"
"3314799","2"
"3319800","4"
"3321000","8"
"3329501","19"
"3702900","2"
"3811400","24"
"3831901","7"
"3831999","2"
"3832700","4"
"3839499","2"
"4321500","233"
"4322301","15"
"4322302","226"
"4322303","5"
"4329101","8"
"4330402","20"
"4330403","22"
"4330404","66"
"4330405","8"
"4330499","36"
"4399103","214"
"4399105","6"
"4399199","7"
"4520001","252"
"4520002","88"
"4520003","34"
"4520004","7"
"4520005","175"
"4520006","75"
"4520007","63"
"4520008","1"
"4530703","75"
"4530704","11"
"4530705","1"
"4541206","129"
"4541207","2"
"4543900","95"
"4712100","560"
"4713002","92"
"4721102","63"
"4721103","23"
"4721104","27"
"4722901","97"
"4722902","73"
"4723700","420"
"4724500","145"
"4729601","8"
"4729699","218"
"4732600","5"
"4741500","2"
"4742300","10"
"4743100","11"
"4744001","13"
"4744002","2"
"4744003","1"
"4744004","9"
"4744099","88"
"4751201","81"
"4751202","9"
"4752100","107"
"4753900","41"
"4754701","25"
"4754702","86"
"4754703","1"
"4755501","8"
"4755502","240"
"4755503","95"
"4756300","5"
"4757100","20"
"4759801","5"
"4759899","31"
"4761001","11"
"4761002","5"
"4761003","53"
"4762800","5"
"4763601","13"
"4763602","19"
"4763603","74"
"4763604","9"
"4771701","4"
"4771703","2"
"4771704","6"
"4772500","255"
"4773300","14"
"4774100","23"
"4781400","2093"
"4782201","81"
"4782202","21"
"4783101","44"
"4783102","57"
"4784900","5"
"4785701","1"
"4785799","12"
"4789001","66"
"4789002","21"
"4789003","4"
"4789004","68"
"4789005","14"
"4789006","1"
"4789007","6"
"4789008","4"
"4789099","134"
"4923001","23"
"4924800","22"
"4929901","42"
"4929902","19"
"4930201","72"
"4930202","35"
"4930204","21"
"5091202","1"
"5099801","4"
"5099899","5"
"5211702","1"
"5212500","18"
"5229002","11"
"5229099","71"
"5310502","2"
"5320201","7"
"5320202","151"
"5590601","1"
"5590602","3"
"5590603","6"
"5590699","48"
"5611201","676"
"5611203","749"
"5611204","491"
"5611205","73"
"5612100","212"
"5620101","40"
"5620102","69"
"5620103","6"
"5620104","316"
"5811500","5"
"5812300","1"
"5812301","32"
"5812302","9"
"5813100","10"
"5819100","27"
"5912099","41"
"6190699","28"
"6399200","10"
"6920601","6"
"7319002","518"
"7319003","59"
"7319099","25"
"7420001","63"
"7420002","3"
"7420004","16"
"7719599","4"
"7721700","23"
"7722500","2"
"7723300","4"
"7729201","7"
"7729202","24"
"7729299","1"
"7731400","4"
"7732201","8"
"7732202","1"
"7733100","2"
"7739002","1"
"7739003","6"
"7739099","10"
"7911200","182"
"7912100","20"
"7990200","6"
"8011102","2"
"8020002","5"
"8122200","7"
"8129000","15"
"8130300","40"
"8211300","3"
"8219901","19"
"8219999","89"
"8230001","142"
"8230002","29"
"8291100","18"
"8292000","10"
"8299707","56"
"8299799","13"
"8592902","2"
"8592903","4"
"8592999","33"
"8593700","15"
"8599603","29"
"8599604","95"
"8599605","22"
"8599699","104"
"8712300","6"
"9001901","7"
"9001902","28"
"9001906","14"
"9102302","1"
"9313100","22"
"9329804","5"
"9329899","6"
"9511800","164"
"9512600","114"
"9521500","35"
"9529101","6"
"9529102","36"
"9529103","7"
"9529104","13"
"9529105","14"
"9529106","13"
"9529199","7"
"9601701","9"
"9602501","1125"
"9602502","310"
"9603304","4"
"9609202","2"
"9609206","23"
"9609207","5"
"9609208","21"
"9609299","15"
"9700500","47"
