CNAE,TOTAL
"0121101","48"
"0159801","97"
"0159802","225"
"0161001","119"
"0161002","205"
"0161003","1141"
"0162802","84"
"0162803","1"
"0220904","1"
"0220906","6"
"0220999","1"
"0230600","1"
"0322104","29"
"0892401","1"
"1012101","62"
"1013901","220"
"1031700","143"
"1032599","77"
"1033301","21"
"1033302","56"
"1052000","41"
"1053800","7"
"1061902","10"
"1063500","1"
"1064300","15"
"1065101","9"
"1069400","16"
"1071600","64"
"1091101","2466"
"1091102","6002"
"1092900","402"
"1093701","368"
"1093702","63"
"1094500","1011"
"1095300","95"
"1096100","1299"
"1099601","7"
"1099604","90"
"1099605","64"
"1099699","38"
"1122403","9"
"1122499","3"
"1220499","13"
"1311100","4"
"1312000","4"
"1321900","10"
"1322700","66"
"1330800","1"
"1340501","573"
"1340599","810"
"1351100","287"
"1352900","72"
"1353700","11"
"1354500","1"
"1359600","2078"
"1411801","260"
"1411802","89"
"1412601","5035"
"1412602","4855"
"1412603","806"
"1413403","135"
"1414200","47"
"1421500","3"
"1422300","732"
"1510600","34"
"1521100","367"
"1529700","548"
"1531901","391"
"1531902","809"
"1539400","253"
"1540800","335"
"1622602","1"
"1622699","1310"
"1623400","74"
"1629301","1665"
"1629302","120"
"1721400","11"
"1731100","59"
"1732000","40"
"1742701","32"
"1742702","10"
"1742799","3"
"1749400","502"
"1813001","867"
"1813099","1145"
"1821100","855"
"1822901","110"
"1822999","10"
"1830002","1"
"2052500","18"
"2061400","21"
"2062200","67"
"2063100","61"
"2092402","1"
"2219600","112"
"2229399","184"
"2319200","97"
"2330305","1"
"2330399","590"
"2342702","59"
"2349499","190"
"2391501","34"
"2391502","61"
"2391503","439"
"2399101","124"
"2512800","1092"
"2531402","1"
"2532201","618"
"2539001","2781"
"2539002","96"
"2541100","173"
"2542000","3735"
"2543800","492"
"2593400","2"
"2599301","361"
"2599399","500"
"2740602","52"
"2950600","127"
"3101200","4378"
"3102100","47"
"3103900","270"
"3104700","13"
"3211601","131"
"3211602","104"
"3211603","4"
"3212400","966"
"3220500","40"
"3230200","50"
"3240099","81"
"3291400","46"
"3292202","35"
"3299001","2"
"3299002","43"
"3299003","362"
"3299004","148"
"3299005","26"
"3299006","92"
"3299099","5205"
"3311200","104"
"3313901","280"
"3313902","9"
"3313999","199"
"3314701","78"
"3314702","335"
"3314706","69"
"3314707","831"
"3314709","47"
"3314710","201"
"3314711","886"
"3314712","270"
"3314713","1"
"3314719","210"
"3314720","219"
"3314799","216"
"3317102","84"
"3319800","274"
"3321000","1733"
"3329501","3822"
"3329599","1"
"3600602","10"
"3702900","87"
"3811400","664"
"3812200","15"
"3831901","271"
"3831999","207"
"3832700","354"
"3839499","242"
"4120400","1"
"4321500","15481"
"4322301","1805"
"4322302","3488"
"4322303","334"
"4329101","350"
"4329102","19"
"4329103","103"
"4329104","79"
"4329105","130"
"4329199","2"
"4330402","1336"
"4330403","2046"
"4330404","13846"
"4330405","2875"
"4330499","1162"
"4399102","1"
"4399103","44699"
"4399105","73"
"4399199","729"
"4511102","1"
"4520001","10164"
"4520002","4516"
"4520003","1971"
"4520004","56"
"4520005","6731"
"4520006","2196"
"4520007","2089"
"4520008","22"
"4530701","1"
"4530703","3242"
"4530704","355"
"4530705","244"
"4541206","832"
"4541207","25"
"4543900","1704"
"4617600","1"
"4637104","1"
"4639701","1"
"4649408","1"
"4651602","1"
"4661300","1"
"4687703","1"
"4689302","1"
"4711301","3"
"4711302","3"
"4712100","12776"
"4713002","2326"
"4713004","1"
"4721102","2840"
"4721103","506"
"4721104","586"
"4722901","893"
"4722902","308"
"4723700","8889"
"4724500","3452"
"4729601","551"
"4729699","4663"
"4732600","109"
"4741500","132"
"4742300","606"
"4743100","654"
"4744001","1748"
"4744002","508"
"4744003","119"
"4744004","221"
"4744005","2"
"4744099","1356"
"4751201","2463"
"4751202","94"
"4752100","1479"
"4753900","1243"
"4754701","1372"
"4754702","603"
"4754703","172"
"4755501","222"
"4755502","2647"
"4755503","4371"
"4756300","153"
"4757100","688"
"4759801","495"
"4759899","1482"
"4761001","500"
"4761002","215"
"4761003","448"
"4762800","253"
"4763601","1274"
"4763602","774"
"4763603","576"
"4763604","314"
"4771701","46"
"4771702","1"
"4771703","31"
"4771704","136"
"4772500","6653"
"4773300","380"
"4774100","456"
"4781400","52770"
"4782201","1521"
"4782202","162"
"4783101","1325"
"4783102","207"
"4784900","334"
"4785701","99"
"4785799","1467"
"4789001","3848"
"4789002","1490"
"4789003","305"
"4789004","2979"
"4789005","1899"
