CNAE,TOTAL
"0121101","7"
"0159801","7"
"0159802","26"
"0161001","4"
"0161002","6"
"0161003","55"
"0162802","1"
"0321304","4"
"0322104","15"
"1012101","41"
"1013901","10"
"1031700","31"
"1032599","5"
"1033301","4"
"1033302","14"
"1052000","45"
"1063500","10"
"1064300","5"
"1065101","8"
"1071600","2"
"1091101","167"
"1091102","677"
"1092900","27"
"1093701","35"
"1093702","16"
"1094500","92"
"1095300","16"
"1096100","131"
"1099601","2"
"1099604","13"
"1099605","5"
"1099699","1"
"1122403","3"
"1322700","1"
"1340501","54"
"1340599","94"
"1351100","63"
"1352900","13"
"1353700","1"
"1359600","165"
"1411801","34"
"1411802","17"
"1412601","400"
"1412602","662"
"1412603","79"
"1413403","22"
"1414200","3"
"1422300","30"
"1521100","24"
"1529700","11"
"1531901","4"
"1531902","5"
"1539400","18"
"1540800","1"
"1622699","64"
"1623400","3"
"1629301","97"
"1629302","15"
"1731100","4"
"1732000","9"
"1742701","3"
"1749400","76"
"1813001","109"
"1813099","133"
"1821100","73"
"1822901","13"
"2052500","2"
"2061400","1"
"2062200","11"
"2063100","6"
"2092402","1"
"2219600","18"
"2229399","19"
"2319200","11"
"2330305","2"
"2330399","66"
"2342702","2"
"2349499","44"
"2391501","2"
"2391502","1"
"2391503","28"
"2399101","11"
"2512800","235"
"2532201","23"
"2539001","190"
"2539002","3"
"2541100","2"
"2542000","181"
"2543800","14"
"2599301","35"
"2599399","26"
"2740602","2"
"2950600","19"
"3101200","437"
"3102100","6"
"3103900","24"
"3104700","1"
"3211601","3"
"3211602","5"
"3212400","127"
"3220500","7"
"3230200","3"
"3240099","6"
"3291400","6"
"3292202","4"
"3299001","1"
"3299002","8"
"3299003","40"
"3299004","22"
"3299005","4"
"3299006","8"
"3299099","492"
"3311200","12"
"3313901","41"
"3313902","2"
"3313999","13"
"3314701","4"
"3314702","32"
"3314706","2"
"3314707","119"
"3314709","2"
"3314710","8"
"3314711","10"
"3314712","2"
"3314719","13"
"3314720","29"
"3314799","6"
"3317102","3"
"3319800","21"
"3321000","93"
"3329501","199"
"3600602","30"
"3702900","6"
"3811400","38"
"3812200","2"
"3831901","21"
"3831999","12"
"3832700","11"
"3839499","8"
"4321500","1090"
"4322301","93"
"4322302","319"
"4322303","28"
"4329101","40"
"4329103","10"
"4329104","10"
"4329105","7"
"4330401","1"
"4330402","90"
"4330403","134"
"4330404","626"
"4330405","60"
"4330499","91"
"4399103","1549"
"4399105","12"
"4399199","7"
"4520001","624"
"4520002","308"
"4520003","141"
"4520004","16"
"4520005","364"
"4520006","223"
"4520007","187"
"4520008","41"
"4530703","287"
"4530704","81"
"4530705","16"
"4541206","278"
"4541207","9"
"4543900","299"
"4712100","2232"
"4713002","277"
"4721102","226"
"4721103","328"
"4721104","114"
"4722901","375"
"4722902","97"
"4723700","1420"
"4724500","680"
"4729601","22"
"4729699","780"
"4732600","24"
"4741500","15"
"4742300","45"
"4743100","77"
"4744001","113"
"4744002","33"
"4744003","11"
"4744004","38"
"4744099","445"
"4751201","336"
"4751202","22"
"4752100","335"
"4753900","155"
"4754701","154"
"4754702","172"
"4754703","10"
"4755501","44"
"4755502","382"
"4755503","378"
"4756300","18"
"4757100","106"
"4759801","41"
"4759899","150"
"4761001","56"
"4761002","16"
"4761003","125"
"4762800","32"
"4763601","83"
"4763602","139"
"4763603","141"
"4763604","31"
"4771701","10"
"4771703","5"
"4771704","18"
"4772500","1520"
"4773300","57"
"4774100","210"
"4781400","5973"
"4782201","258"
"4782202","35"
"4783101","232"
"4783102","46"
"4784900","120"
"4785701","6"
"4785799","45"
"4789001","384"
"4789002","72"
"4789003","24"
"4789004","522"
"4789005","215"
"4789006","4"
"4789007","19"
"4789008","38"
"4789099","529"
"4923001","1254"
"4924800","495"
"4929901","688"
"4929902","303"
"4929903","12"
"4930201","571"
"4930202","226"
"4930204","90"
"5011401","1"
"5021101","1"
"5091201","1"
"5091202","3"
"5099801","36"
"5099899","2"
"5211702","1"
"5212500","48"
"5223100","31"
"5229002","31"
"5229099","442"
"5320201","41"
"5320202","671"
"5510801","1"
"5590601","6"
"5590602","3"
"5590603","13"
"5590699","66"
"5611201","1431"
"5611203","1927"
"5611204","433"
"5611205","64"
"5612100","1370"
"5620101","148"
"5620102","217"
"5620103","36"
"5620104","1779"
"5811500","38"
"5812301","88"
"5812302","44"
"5813100","34"
"5819100","204"
"5912099","118"
"6190699","111"
"6399200","5"
"6920601","52"
"7319002","2486"
"7319003","277"
"7319099","123"
"7420001","372"
"7420002","12"
"7420003","5"
"7420004","56"
"7490102","2"
"7719599","12"
"7721700","55"
"7722500","8"
"7723300","38"
"7729201","13"
"7729202","121"
"7729203","1"
"7729299","2"
"7731400","29"
"7732201","37"
"7732202","12"
"7733100","12"
"7739002","10"
"7739003","45"
"7739099","62"
"7911200","334"
"7912100","66"
"7990200","22"
"8011101","12"
"8011102","7"
"8020002","30"
