CNAE,TOTAL
"0121101","208"
"0159801","289"
"0159802","1023"
"0161001","313"
"0161002","471"
"0161003","3440"
"0161099","1"
"0162802","29"
"0162803","1"
"0170900","2"
"0220904","1"
"0220906","4"
"0220999","3"
"0311604","1"
"0312403","3"
"0321304","51"
"0322101","2"
"0322104","266"
"0322199","1"
"0810006","1"
"0892401","6"
"1012101","123"
"1013901","541"
"1031700","621"
"1032599","331"
"1033301","113"
"1033302","300"
"1052000","422"
"1053800","4"
"1061902","10"
"1063500","60"
"1064300","37"
"1065101","58"
"1069400","90"
"1071600","35"
"1091101","5344"
"1091102","22950"
"1092900","668"
"1093701","2628"
"1093702","346"
"1094500","2904"
"1095300","476"
"1096100","3955"
"1099601","27"
"1099604","200"
"1099605","94"
"1099699","156"
"1122403","34"
"1122499","47"
"1220499","70"
"1311100","22"
"1312000","16"
"1321900","30"
"1322700","153"
"1340501","3203"
"1340599","4464"
"1351100","1268"
"1352900","3302"
"1353700","42"
"1354500","1"
"1359600","6450"
"1411801","911"
"1411802","311"
"1412601","32284"
"1412602","22426"
"1412603","4357"
"1413402","1"
"1413403","766"
"1414200","216"
"1421500","52"
"1422300","1642"
"1510600","29"
"1521100","1228"
"1529700","1035"
"1531901","736"
"1531902","1536"
"1539400","955"
"1540800","495"
"1610203","1"
"1622699","2783"
"1623400","173"
"1629301","4776"
"1629302","595"
"1721400","71"
"1731100","345"
"1732000","199"
"1742701","88"
"1742702","34"
"1742799","28"
"1749400","3328"
"1813001","3429"
"1813099","3342"
"1821100","4326"
"1822901","629"
"1822999","15"
"2052500","33"
"2061400","48"
"2062200","246"
"2063100","298"
"2092402","10"
"2219600","609"
"2229399","926"
"2319200","335"
"2330302","1"
"2330305","6"
"2330399","1441"
"2342702","104"
"2349499","1022"
"2391501","54"
"2391502","93"
"2391503","1719"
"2399101","696"
"2512800","1587"
"2532201","767"
"2539001","8342"
"2539002","313"
"2541100","98"
"2542000","16803"
"2543800","1909"
"2599301","1489"
"2599399","1116"
"2740602","239"
"2950600","553"
"3101200","18198"
"3102100","137"
"3103900","542"
"3104700","168"
"3211601","101"
"3211602","385"
"3211603","7"
"3212400","4934"
"3220500","245"
"3230200","228"
"3240099","571"
"3250706","1"
"3291400","184"
"3292202","188"
"3299001","16"
"3299002","199"
"3299003","1279"
"3299004","545"
"3299005","129"
"3299006","326"
"3299099","19000"
"3311200","715"
"3313901","1383"
"3313902","67"
"3313999","1071"
"3314701","385"
"3314702","1755"
"3314706","448"
"3314707","3450"
"3314709","144"
"3314710","1137"
"3314711","958"
"3314712","294"
"3314713","2"
"3314718","1"
"3314719","828"
"3314720","753"
"3314799","922"
"3317102","847"
"3319800","1233"
"3321000","8592"
"3329501","10013"
"3329599","1"
"3600602","203"
"3702900","314"
"3811400","2479"
"3812200","36"
"3831901","1304"
"3831999","863"
"3832700","1569"
"3839499","1103"
"4120400","6"
"4222701","1"
"4292801","1"
"4292802","1"
"4313400","1"
"4321500","57621"
"4322301","6216"
"4322302","11453"
"4322303","1231"
"4329101","1871"
"4329102","58"
"4329103","500"
"4329104","332"
"4329105","574"
"4329199","1"
"4330401","1"
"4330402","3166"
"4330403","8124"
"4330404","42780"
"4330405","7293"
"4330499","6325"
"4399103","120788"
"4399105","316"
"4399199","5087"
"4520001","32171"
"4520002","16608"
"4520003","5123"
"4520004","429"
"4520005","17397"
"4520006","6976"
"4520007","7815"
"4520008","161"
"4530703","14384"
"4530704","2029"
"4530705","832"
"4541203","1"
"4541206","3373"
"4541207","134"
"4542101","1"
"4543900","5744"
"4616800","1"
"4617600","1"
"4618499","1"
"4637106","1"
"4641903","1"
"4642701","1"
"4642702","1"
"4651601","2"
"4687701","1"
"4687702","1"
"4687703","2"
"4689399","2"
"4711302","1"
"4712100","33427"
"4713002","8992"
"4713004","12"
"4721102","10473"
"4721103","4690"
"4721104","4564"
"4722901","3442"
"4722902","1505"
"4723700","38475"
"4724500","19218"
"4729601","4542"
"4729602","1"
"4729699","21684"
"4732600","767"
"4741500","986"
