CNAE,TOTAL
"0121101","21"
"0159801","8"
"0159802","18"
"0161001","27"
"0161002","19"
"0161003","235"
"0322104","9"
"0892401","1"
"1012101","13"
"1013901","47"
"1031700","74"
"1032599","7"
"1033301","9"
"1033302","15"
"1052000","45"
"1061902","13"
"1063500","41"
"1064300","2"
"1065101","7"
"1069400","2"
"1071600","6"
"1091101","324"
"1091102","401"
"1092900","30"
"1093701","29"
"1093702","3"
"1094500","68"
"1095300","30"
"1096100","75"
"1099604","26"
"1099605","3"
"1099699","6"
"1122403","2"
"1312000","1"
"1340501","34"
"1340599","57"
"1351100","20"
"1352900","85"
"1353700","2"
"1359600","59"
"1411801","73"
"1411802","26"
"1412601","335"
"1412602","680"
"1412603","52"
"1413403","29"
"1414200","6"
"1422300","29"
"1510600","1"
"1521100","11"
"1529700","30"
"1531901","13"
"1531902","2"
"1539400","49"
"1540800","3"
"1622699","155"
"1623400","6"
"1629301","49"
"1629302","11"
"1731100","1"
"1732000","1"
"1742702","1"
"1749400","48"
"1813001","84"
"1813099","88"
"1821100","43"
"1822901","10"
"1822999","1"
"2052500","4"
"2061400","4"
"2062200","10"
"2063100","3"
"2219600","19"
"2229399","11"
"2319200","9"
"2330305","4"
"2330399","105"
"2342702","10"
"2349499","18"
"2391501","5"
"2391502","7"
"2391503","56"
"2399101","9"
"2512800","63"
"2532201","14"
"2539001","243"
"2539002","1"
"2541100","4"
"2542000","818"
"2543800","6"
"2599301","118"
"2599399","18"
"2740602","1"
"2950600","16"
"3101200","475"
"3102100","6"
"3103900","30"
"3211601","5"
"3211602","8"
"3212400","77"
"3220500","1"
"3230200","1"
"3240099","3"
"3291400","8"
"3292202","7"
"3299002","9"
"3299003","66"
"3299004","20"
"3299005","6"
"3299006","1"
"3299099","282"
"3311200","5"
"3313901","41"
"3313902","4"
"3313999","41"
"3314701","6"
"3314702","32"
"3314706","8"
"3314707","180"
"3314710","22"
"3314711","71"
"3314712","40"
"3314719","5"
"3314720","13"
"3314799","4"
"3317102","9"
"3319800","22"
"3321000","59"
"3329501","118"
"3600602","9"
"3702900","14"
"3811400","76"
"3812200","2"
"3831901","51"
"3831999","13"
"3832700","14"
"3839499","14"
"4321500","1340"
"4322301","91"
"4322302","690"
"4322303","13"
"4329101","44"
"4329103","4"
"4329104","12"
"4329105","6"
"4330402","113"
"4330403","263"
"4330404","957"
"4330405","173"
"4330499","167"
"4399103","3069"
"4399105","55"
"4399199","111"
"4520001","949"
"4520002","341"
"4520003","250"
"4520004","26"
"4520005","731"
"4520006","608"
"4520007","181"
"4520008","4"
"4530703","551"
"4530704","49"
"4530705","28"
"4541206","557"
"4541207","11"
"4543900","573"
"4711302","1"
"4712100","3201"
"4713002","256"
"4721102","419"
"4721103","86"
"4721104","47"
"4722901","846"
"4722902","151"
"4723700","2011"
"4724500","617"
"4729601","63"
"4729699","835"
"4732600","51"
"4741500","14"
"4742300","57"
"4743100","139"
"4744001","94"
"4744002","30"
"4744003","20"
"4744004","90"
"4744099","439"
"4751201","427"
"4751202","26"
"4752100","358"
"4753900","196"
"4754701","131"
"4754702","113"
"4754703","8"
"4755501","37"
"4755502","491"
"4755503","484"
"4756300","19"
"4757100","142"
"4759801","65"
"4759899","201"
"4761001","34"
"4761002","10"
"4761003","123"
"4762800","21"
"4763601","141"
"4763602","64"
"4763603","252"
"4763604","52"
"4771701","19"
"4771703","3"
"4771704","35"
"4772500","1231"
"4773300","36"
"4774100","64"
"4781400","5295"
"4782201","309"
"4782202","21"
"4783101","174"
"4783102","36"
"4784900","157"
"4785799","41"
"4789001","226"
"4789002","99"
"4789003","18"
"4789004","274"
"4789005","151"
"4789006","2"
"4789007","21"
"4789008","25"
"4789099","378"
"4923001","1524"
"4924800","498"
"4929901","262"
"4929902","182"
"4929903","24"
"4930201","749"
"4930202","319"
"4930204","126"
"5021101","2"
"5091201","3"
"5091202","7"
"5099801","7"
"5099899","11"
"5211702","12"
"5212500","128"
"5223100","29"
"5229002","29"
"5229099","131"
"5310502","2"
"5320201","73"
"5320202","527"
"5590601","8"
"5590602","8"
"5590603","43"
"5590699","232"
"5611201","1563"
"5611203","2287"
"5611204","1643"
"5611205","214"
"5612100","1926"
"5620101","98"
"5620102","284"
"5620103","40"
"5620104","1018"
"5811500","22"
"5812300","3"
"5812301","95"
"5812302","29"
"5813100","24"
"5819100","126"
"5912099","148"
"6190699","95"
"6399200","15"
"6920601","66"
"7311400","1"
"7319002","2089"
"7319003","181"
"7319099","217"
"7410202","1"
"7420001","257"
"7420002","9"
"7420003","2"
"7420004","42"
"7490102","2"
"7711000","1"
"7719599","7"
"7721700","103"
"7722500","6"
"7723300","26"
"7729201","13"
"7729202","107"
"7729203","5"
"7729299","1"
"7731400","88"
"7732201","59"
"7732202","15"
"7733100","13"
"7739002","6"
"7739003","79"
"7739099","58"
"7911200","314"
"7912100","49"
"7990200","28"
"8011101","10"
"8011102","2"
"8020002","17"
"8122200","35"
"8129000","108"
"8130300","242"
"8211300","60"
"8219901","79"
"8219999","411"
"8230001","596"
"8230002","113"
"8291100","86"
"8292000","10"
"8299703","2"
"8299707","115"
"8299799","40"
"8592902","17"
"8592903","88"
"8592999","155"
"8593700","30"
"8599603","97"
"8599604","592"
"8599605","99"
"8599699","423"
"8712300","157"
"9001901","6"
"9001902","280"
"9001906","53"
"9002702","3"
"9102302","2"
"9313100","70"
"9329803","5"
"9329804","11"
"9329899","40"
"9511800","639"
"9512600","342"
"9521500","190"
"9529101","30"
"9529102","110"
"9529103","23"
"9529104","145"
"9529105","79"
"9529106","19"
"9529199","45"
"9601701","61"
"9601703","12"
"9602501","4249"
"9602502","1114"
"9603304","20"
"9603399","1"
"9609202","6"
"9609206","47"
"9609207","11"
"9609208","68"
"9609299","149"
"9700500","545"
