CNAE,TOTAL
"0121101","1063"
"0155501","1"
"0159801","1313"
"0159802","3903"
"0161001","1722"
"0161002","2232"
"0161003","16110"
"0161099","1"
"0162802","239"
"0162803","17"
"0170900","7"
"0210106","1"
"0220904","3"
"0220906","30"
"0220999","7"
"0230600","1"
"0311604","21"
"0312403","8"
"0321304","151"
"0322101","3"
"0322104","1125"
"0322199","2"
"0600003","1"
"0810006","1"
"0892401","36"
"0899199","1"
"1012101","1565"
"1013901","3981"
"1031700","5251"
"1032501","1"
"1032599","1366"
"1033301","1050"
"1033302","1912"
"1052000","3666"
"1053800","74"
"1061901","1"
"1061902","152"
"1063500","1222"
"1064300","363"
"1065101","555"
"1066000","1"
"1069400","428"
"1071600","493"
"1081302","2"
"1091101","31115"
"1091102","86241"
"1092900","4725"
"1093701","7849"
"1093702","1540"
"1094500","15798"
"1095300","3068"
"1096100","18763"
"1099601","118"
"1099604","1641"
"1099605","549"
"1099699","795"
"1122403","248"
"1122499","228"
"1220402","1"
"1220499","346"
"1311100","119"
"1312000","128"
"1321900","192"
"1322700","672"
"1323500","1"
"1330800","1"
"1340501","10108"
"1340599","15778"
"1351100","5274"
"1352900","6876"
"1353700","208"
"1354500","2"
"1359600","24916"
"1411801","7016"
"1411802","3242"
"1412601","105484"
"1412602","91666"
"1412603","32165"
"1413401","4"
"1413402","3"
"1413403","4616"
"1414200","944"
"1421500","133"
"1422300","6783"
"1510600","157"
"1521100","4932"
"1529700","5323"
"1531901","4707"
"1531902","3555"
"1539400","6570"
"1540800","1803"
"1610203","3"
"1622602","2"
"1622699","13760"
"1623400","763"
"1629301","18509"
"1629302","2891"
"1721400","213"
"1731100","1278"
"1732000","672"
"1742701","388"
"1742702","145"
"1742799","65"
"1749400","12232"
"1813001","13653"
"1813099","14567"
"1821100","12625"
"1822901","2420"
"1822999","96"
"1830001","2"
"1830002","1"
"1830003","1"
"2052500","516"
"2061400","418"
"2062200","1794"
"2063100","1299"
"2092402","42"
"2219600","2982"
"2222600","1"
"2229399","3073"
"2319200","1359"
"2330301","3"
"2330302","3"
"2330305","61"
"2330399","8266"
"2342702","718"
"2349499","4234"
"2391501","403"
"2391502","771"
"2391503","7533"
"2399101","2372"
"2452100","1"
"2511000","1"
"2512800","12431"
"2531402","1"
"2532201","3761"
"2539001","31356"
"2539002","845"
"2541100","534"
"2542000","69309"
"2543800","4227"
"2592601","1"
"2593400","3"
"2599301","7093"
"2599399","4474"
"2640000","1"
"2740602","651"
"2829101","1"
"2840200","1"
"2950600","2295"
"3101200","74465"
"3102100","761"
"3103900","3059"
